,Valor
2000-01-31,132.0
2000-02-29,140.0
2000-03-31,189.0
2000-04-30,128.0
2000-05-31,184.0
2000-06-30,166.0
2000-07-31,188.0
2000-08-31,199.0
2000-09-30,178.0
2000-10-31,166.0
2000-11-30,104.0
2000-12-31,132.0
2001-01-31,126.0
2001-02-28,170.0
2001-03-31,193.0
2001-04-30,144.0
2001-05-31,123.0
2001-06-30,129.0
2001-07-31,150.0
2001-08-31,159.0
2001-09-30,144.0
2001-10-31,160.0
2001-11-30,164.0
2001-12-31,115.0
2002-01-31,163.0
2002-02-28,170.0
2002-03-31,108.0
2002-04-30,117.0
2002-05-31,196.0
2002-06-30,102.0
2002-07-31,129.0
2002-08-31,141.0
2002-09-30,168.0
2002-10-31,180.0
2002-11-30,182.0
2002-12-31,163.0
2003-01-31,135.0
2003-02-28,101.0
2003-03-31,194.0
2003-04-30,114.0
2003-05-31,185.0
2003-06-30,154.0
2003-07-31,191.0
2003-08-31,131.0
2003-09-30,124.0
2003-10-31,128.0
2003-11-30,195.0
2003-12-31,170.0
2004-01-31,191.0
2004-02-29,185.0
2004-03-31,153.0
2004-04-30,131.0
2004-05-31,102.0
2004-06-30,186.0
2004-07-31,133.0
2004-08-31,187.0
2004-09-30,100.0
2004-10-31,147.0
2004-11-30,156.0
2004-12-31,172.0
2005-01-31,167.0
2005-02-28,172.0
2005-03-31,196.0
2005-04-30,108.0
2005-05-31,117.0
2005-06-30,166.0
2005-07-31,101.0
2005-08-31,193.0
2005-09-30,103.0
2005-10-31,112.0
2005-11-30,150.0
2005-12-31,176.0
2006-01-31,178.0
2006-02-28,198.0
2006-03-31,179.0
2006-04-30,109.0
2006-05-31,179.0
2006-06-30,181.0
2006-07-31,181.0
2006-08-31,180.0
2006-09-30,151.0
2006-10-31,101.0
2006-11-30,151.0
2006-12-31,117.0
2007-01-31,181.0
2007-02-28,146.0
2007-03-31,149.0
2007-04-30,188.0
2007-05-31,165.0
2007-06-30,105.0
2007-07-31,187.0
2007-08-31,195.0
2007-09-30,183.0
2007-10-31,122.0
2007-11-30,135.0
2007-12-31,167.0
2008-01-31,179.0
2008-02-29,176.0
2008-03-31,121.0
2008-04-30,197.0
2008-05-31,178.0
2008-06-30,131.0
2008-07-31,190.0
2008-08-31,157.0
2008-09-30,161.0
2008-10-31,172.0
2008-11-30,152.0
2008-12-31,138.0
2009-01-31,116.0
2009-02-28,181.0
2009-03-31,150.0
2009-04-30,123.0
2009-05-31,156.0
2009-06-30,168.0
2009-07-31,195.0
2009-08-31,140.0
2009-09-30,189.0
2009-10-31,118.0
2009-11-30,149.0
2009-12-31,163.0
2010-01-31,106.0
2010-02-28,117.0
2010-03-31,117.0
2010-04-30,162.0
2010-05-31,146.0
2010-06-30,147.0
2010-07-31,141.0
2010-08-31,108.0
2010-09-30,119.0
2010-10-31,114.0
2010-11-30,164.0
2010-12-31,160.0
2011-01-31,140.0
2011-02-28,114.0
2011-03-31,189.0
2011-04-30,109.0
2011-05-31,191.0
2011-06-30,115.0
2011-07-31,167.0
2011-08-31,142.0
2011-09-30,193.0
2011-10-31,131.0
2011-11-30,154.0
2011-12-31,128.0
2012-01-31,128.0
2012-02-29,185.0
2012-03-31,196.0
2012-04-30,120.0
2012-05-31,163.0
2012-06-30,104.0
2012-07-31,180.0
2012-08-31,143.0
2012-09-30,115.0
2012-10-31,158.0
2012-11-30,194.0
2012-12-31,157.0
2013-01-31,163.0
2013-02-28,169.0
2013-03-31,121.0
2013-04-30,147.0
2013-05-31,128.0
2013-06-30,128.0
2013-07-31,137.0
2013-08-31,101.0
2013-09-30,104.0
2013-10-31,125.0
2013-11-30,103.0
2013-12-31,128.0
2014-01-31,167.0
2014-02-28,140.0
2014-03-31,149.0
2014-04-30,193.0
2014-05-31,141.0
2014-06-30,152.0
2014-07-31,160.0
2014-08-31,146.0
2014-09-30,167.0
2014-10-31,101.0
2014-11-30,170.0
2014-12-31,176.0
2015-01-31,193.0
2015-02-28,162.0
2015-03-31,191.0
2015-04-30,131.0
2015-05-31,113.0
2015-06-30,178.0
2015-07-31,179.0
2015-08-31,162.0
2015-09-30,118.0
2015-10-31,172.0
2015-11-30,135.0
2015-12-31,146.0
2016-01-31,106.0
2016-02-29,183.0
2016-03-31,137.0
2016-04-30,151.0
2016-05-31,197.0
2016-06-30,103.0
2016-07-31,141.0
2016-08-31,153.0
2016-09-30,185.0
2016-10-31,188.0
2016-11-30,108.0
2016-12-31,122.0
2017-01-31,169.0
2017-02-28,117.0
2017-03-31,149.0
2017-04-30,141.0
2017-05-31,195.0
2017-06-30,125.0
2017-07-31,160.0
2017-08-31,128.0
2017-09-30,170.0
2017-10-31,149.0
2017-11-30,154.0
2017-12-31,123.0
2018-01-31,188.0
2018-02-28,150.0
2018-03-31,107.0
2018-04-30,183.0
2018-05-31,168.0
2018-06-30,170.0
2018-07-31,153.0
2018-08-31,106.0
2018-09-30,185.0
2018-10-31,191.0
2018-11-30,134.0
2018-12-31,173.0
2019-01-31,156.0
2019-02-28,107.0
2019-03-31,126.0
2019-04-30,193.0
2019-05-31,168.0
2019-06-30,130.0
2019-07-31,100.0
2019-08-31,119.0
2019-09-30,143.0
2019-10-31,157.0
2019-11-30,146.0
2019-12-31,108.0
2020-01-31,107.0
2020-02-29,103.0
2020-03-31,124.0
2020-04-30,125.0
2020-05-31,170.0
2020-06-30,128.0
2020-07-31,166.0
2020-08-31,133.0
2020-09-30,159.0
2020-10-31,118.0
2020-11-30,135.0
2020-12-31,174.0
2021-01-31,140.0
2021-02-28,189.0
2021-03-31,134.0
2021-04-30,135.0
2021-05-31,130.0
2021-06-30,128.0
2021-07-31,141.0
2021-08-31,189.0
2021-09-30,171.0
2021-10-31,178.0
2021-11-30,180.0
2021-12-31,113.0
2022-01-31,121.0
2022-02-28,180.0
2022-03-31,146.0
2022-04-30,110.0
2022-05-31,192.0
2022-06-30,138.0
2022-07-31,109.0
2022-08-31,170.0
2022-09-30,107.0
2022-10-31,189.0
2022-11-30,134.0
2022-12-31,185.0
2023-01-31,127.0
2023-02-28,156.0
2023-03-31,173.0
2023-04-30,106.0
2023-05-31,181.0
2023-06-30,161.0
2023-07-31,115.0
2023-08-31,177.0
2023-09-30,175.0
2023-10-31,174.0
2023-11-30,138.0
2023-12-31,115.0
2024-01-31,102.0
2024-02-29,192.0
2024-03-31,179.0
2024-04-30,185.0
2024-05-31,115.0
2024-06-30,144.0
2024-07-31,122.0
2024-08-31,159.0
2024-09-30,184.0
2024-10-31,127.0
2024-11-30,102.0
2024-12-31,169.0
2025-01-31,187.0
2025-02-28,103.0
2025-03-31,105.0
2025-04-30,148.0
2025-05-31,130.0
2025-06-30,111.0
2025-07-31,192.0
2025-08-31,133.0
2025-09-30,110.0
2025-10-31,198.0
2025-11-30,156.0
2025-12-31,193.0
2026-01-31,128.0
2026-02-28,140.0
2026-03-31,105.0
2026-04-30,169.0
2026-05-31,180.0
2026-06-30,135.0
2026-07-31,132.0
2026-08-31,101.0
2026-09-30,152.0
2026-10-31,173.0
2026-11-30,159.0
2026-12-31,171.0
2027-01-31,119.0
2027-02-28,141.0
2027-03-31,167.0
2027-04-30,132.0
2027-05-31,155.0
2027-06-30,162.0
2027-07-31,173.0
2027-08-31,143.0
2027-09-30,138.0
2027-10-31,190.0
2027-11-30,179.0
2027-12-31,195.0
2028-01-31,113.0
2028-02-29,140.0
2028-03-31,172.0
2028-04-30,147.0
2028-05-31,124.0
2028-06-30,191.0
2028-07-31,169.0
2028-08-31,163.0
2028-09-30,196.0
2028-10-31,164.0
2028-11-30,164.0
2028-12-31,198.0
2029-01-31,116.0
2029-02-28,193.0
2029-03-31,188.0
2029-04-30,130.0
2029-05-31,178.0
2029-06-30,197.0
2029-07-31,135.0
2029-08-31,126.0
2029-09-30,188.0
2029-10-31,127.0
2029-11-30,178.0
2029-12-31,165.0
