,Valor
2000-01-31,107.42765171443375
2000-02-29,105.78299566908385
2000-03-31,108.5045007389294
2000-04-30,108.80326790736105
2000-05-31,107.66646939842822
2000-06-30,108.14862667544415
2000-07-31,106.8888565930412
2000-08-31,107.11325030904362
2000-09-30,107.29336250092128
2000-10-31,106.76201516225565
2000-11-30,109.31315452239703
2000-12-31,109.86459129900024
2001-01-31,106.5668529724455
2001-02-28,106.48745073829203
2001-03-31,108.9736180346517
2001-04-30,108.18105723545888
2001-05-31,108.41002529780698
2001-06-30,111.0334476381689
2001-07-31,106.6987418542238
2001-08-31,108.55607836075437
2001-09-30,109.59759248826046
2001-10-31,109.26899425528711
2001-11-30,107.1771105166894
2001-12-31,108.2178671750331
2002-01-31,107.13688901747506
2002-02-28,109.57961991496133
2002-03-31,106.84115798199714
2002-04-30,108.83382079450118
2002-05-31,108.5612010193309
2002-06-30,106.60485263826678
2002-07-31,108.32559592311515
2002-08-31,110.63610880008059
2002-09-30,105.67303260552606
2002-10-31,106.76709779344854
2002-11-30,108.11446726030655
2002-12-31,106.45630117417323
2003-01-31,106.80627529717911
2003-02-28,107.87701190662477
2003-03-31,109.43371784014701
2003-04-30,107.57810973594658
2003-05-31,108.29380263778987
2003-06-30,106.46894002376987
2003-07-31,109.17403447132912
2003-08-31,109.38010101320113
2003-09-30,108.3786647118722
2003-10-31,107.13886180881542
2003-11-30,108.0423911705864
2003-12-31,108.60060086971956
2004-01-31,110.26255472448594
2004-02-29,107.77779193647605
2004-03-31,108.62331966400598
2004-04-30,111.17266713016444
2004-05-31,108.9037454439191
2004-06-30,105.53418641868777
2004-07-31,108.91513678244014
2004-08-31,106.66285409159106
2004-09-30,107.10559121563638
2004-10-31,109.2606841417931
2004-11-30,105.78727769342294
2004-12-31,108.07458499353439
2005-01-31,108.23743737542998
2005-02-28,108.95853011156245
2005-03-31,107.16447596449038
2005-04-30,110.55454664048008
2005-05-31,108.48339455104211
2005-06-30,108.67255996606855
2005-07-31,106.75207419817013
2005-08-31,106.80925826061198
2005-09-30,106.86227508812264
2005-10-31,108.7367776211198
2005-11-30,107.75069572738292
2005-12-31,107.9956745529627
2006-01-31,107.73485290393131
2006-02-28,108.00825300299579
2006-03-31,108.57219302471137
2006-04-30,110.95065801481272
2006-05-31,107.65534035508692
2006-06-30,106.8262130311971
2006-07-31,109.36770186622238
2006-08-31,106.97942435138681
2006-09-30,106.28083955485714
2006-10-31,106.54173609052246
2006-11-30,108.90931607887404
2006-12-31,109.73723755640255
2007-01-31,109.39859213126782
2007-02-28,108.57749589353101
2007-03-31,107.4050909602498
2007-04-30,107.34075379826864
2007-05-31,109.9624887843071
2007-06-30,108.27861889285965
2007-07-31,111.36499395558857
2007-08-31,108.52832985489046
2007-09-30,109.9371165152943
2007-10-31,108.26224723157547
2007-11-30,106.8700730969697
2007-12-31,109.14974585400928
2008-01-31,110.84553100162567
2008-02-29,111.08626082383239
2008-03-31,110.26053628541658
2008-04-30,106.8495089610713
2008-05-31,107.24931100909744
2008-06-30,106.75239247818716
2008-07-31,110.36976843909686
2008-08-31,107.68406389888275
2008-09-30,106.84168643688588
2008-10-31,109.57866536523454
2008-11-30,109.61203643978051
2008-12-31,106.5714579596655
2009-01-31,106.48394956517033
2009-02-28,107.87397361587564
2009-03-31,108.8482231709541
2009-04-30,105.68747947000317
2009-05-31,108.38691916012648
2009-06-30,108.2814769236897
2009-07-31,108.89281650426382
2009-08-31,107.82389197059717
2009-09-30,107.18715173712962
2009-10-31,107.60729347292649
2009-11-30,108.37181369469643
2009-12-31,110.56436714315164
2010-01-31,110.99432173325599
2010-02-28,106.65205934285673
2010-03-31,106.72781573082322
2010-04-30,107.8451650823749
2010-05-31,107.70416165661162
2010-06-30,108.11944604490029
2010-07-31,106.48350104212255
2010-08-31,106.05664597392443
2010-09-30,105.61059246668547
2010-10-31,109.06973454566878
2010-11-30,109.11966405816618
2010-12-31,108.2409583465086
2011-01-31,107.84756149013157
2011-02-28,107.02191928174459
2011-03-31,106.8550004574894
2011-04-30,109.40570732875264
2011-05-31,109.48050076024376
2011-06-30,107.04026531604765
2011-07-31,106.49079387306833
2011-08-31,110.16075320388455
2011-09-30,107.03034448509884
2011-10-31,106.77712793057887
2011-11-30,106.27327021377089
2011-12-31,105.85151632165064
2012-01-31,109.64096211495163
2012-02-29,109.67939440604503
2012-03-31,108.98857386694992
2012-04-30,109.70873829777139
2012-05-31,107.84052083957214
2012-06-30,110.77457131816873
2012-07-31,107.05458248964558
2012-08-31,109.00233181816084
2012-09-30,107.25026566816699
2012-10-31,107.45171613088705
2012-11-30,108.52089734617032
2012-12-31,106.38592655792861
2013-01-31,109.5754507197416
2013-02-28,108.48266614219537
2013-03-31,106.07118248644554
2013-04-30,107.48787747872764
2013-05-31,110.69922008794094
2013-06-30,109.2551798936254
2013-07-31,106.22181355896936
2013-08-31,108.6852669815958
2013-09-30,108.39599527087731
2013-10-31,107.37827937534097
2013-11-30,108.29393202152906
2013-12-31,106.77537769007138
2014-01-31,109.18219766271312
2014-02-28,108.13809455098026
2014-03-31,106.76212200778349
2014-04-30,106.85248400781872
2014-05-31,107.68639767709587
2014-06-30,109.13199021850944
2014-07-31,105.59969090777942
2014-08-31,105.8229267018909
2014-09-30,106.61023369417482
2014-10-31,106.7904027009945
2014-11-30,105.51615831794935
2014-12-31,108.83636971018274
2015-01-31,107.65837977921248
2015-02-28,107.90046310994518
2015-03-31,110.49961355786314
2015-04-30,107.50154728398223
2015-05-31,107.45828640055794
2015-06-30,106.97141007636397
2015-07-31,107.34020881265918
2015-08-31,108.25960621812902
2015-09-30,108.69765412527333
2015-10-31,108.5549662623957
2015-11-30,110.736206457174
2015-12-31,109.25134438398055
2016-01-31,109.75613389830659
2016-02-29,109.51248450992905
2016-03-31,108.01417931344656
2016-04-30,106.16283861912855
2016-05-31,108.94167273091533
2016-06-30,106.91594349893172
2016-07-31,108.67838738475398
2016-08-31,111.67178114236651
2016-09-30,109.80538160839174
2016-10-31,107.69510228676683
2016-11-30,108.05943102412665
2016-12-31,106.07971149678181
2017-01-31,111.5583129171581
2017-02-28,107.0080590633215
2017-03-31,108.89408428251247
2017-04-30,107.22709887310006
2017-05-31,107.07177599002743
2017-06-30,107.65583975496972
2017-07-31,107.01064909728632
2017-08-31,107.15795361910398
2017-09-30,106.74198235305845
2017-10-31,107.8082390625579
2017-11-30,107.75646266686829
2017-12-31,108.4531963646975
2018-01-31,107.85382547318909
2018-02-28,107.56350925008533
2018-03-31,109.02366464523614
2018-04-30,108.41943158945605
2018-05-31,109.20211596747234
2018-06-30,108.39780746406535
2018-07-31,108.32345617358624
2018-08-31,109.95504068074516
2018-09-30,110.03844450152395
2018-10-31,106.93686171770419
2018-11-30,108.55978839143567
2018-12-31,108.8374659981075
2019-01-31,108.20816147986429
2019-02-28,109.3911540574192
2019-03-31,108.19109964778609
2019-04-30,106.56069197709449
2019-05-31,108.70175182942748
2019-06-30,108.01471352360733
2019-07-31,106.67028570907287
2019-08-31,108.56416514576267
2019-09-30,109.17036958470723
2019-10-31,110.19328021212075
