,Valor
2000-01-31,137.74794882071933
2000-02-29,138.9592669994117
2000-03-31,137.41598289615308
2000-04-30,136.49888055894962
2000-05-31,138.0297532463587
2000-06-30,136.9091569482985
2000-07-31,136.06745276753398
2000-08-31,138.17157347897268
2000-09-30,140.01392776728915
2000-10-31,139.257506766029
2000-11-30,137.27195471862194
2000-12-31,137.77108858030653
2001-01-31,139.80675515266924
2001-02-28,136.58211759945638
2001-03-31,139.94006332352959
2001-04-30,138.60730345918873
2001-05-31,139.6564611356215
2001-06-30,137.93535928206632
2001-07-31,137.32773796759622
2001-08-31,137.49385795462547
2001-09-30,139.14408798257236
2001-10-31,136.0957496548824
2001-11-30,136.05870715300517
2001-12-31,137.41850363143132
2002-01-31,140.15775643052748
2002-02-28,139.6018383115357
2002-03-31,137.72592558995308
2002-04-30,138.6376760728415
2002-05-31,140.5706955901925
2002-06-30,136.13940360078453
2002-07-31,137.02051087335417
2002-08-31,137.05282112235653
2002-09-30,138.013641609461
2002-10-31,139.21883392195667
2002-11-30,140.47518307875325
2002-12-31,138.62226135866973
2003-01-31,136.58765843292719
2003-02-28,136.29550651795614
2003-03-31,138.96684247682583
2003-04-30,139.4289262355263
2003-05-31,137.60476185705454
2003-06-30,135.692685330578
2003-07-31,140.2269062448183
2003-08-31,136.73967454340442
2003-09-30,136.86554171057705
2003-10-31,138.30015501353378
2003-11-30,138.44693162942528
2003-12-31,138.07165826597947
2004-01-31,137.30140264292555
2004-02-29,137.26581597360814
2004-03-31,137.939102689633
2004-04-30,138.7900910940901
2004-05-31,137.62046979457148
2004-06-30,138.2359998392514
2004-07-31,138.54549638632477
2004-08-31,137.0444871091824
2004-09-30,136.19996464459504
2004-10-31,138.77005652414908
2004-11-30,137.01426787144806
2004-12-31,138.47430178030612
2005-01-31,139.0006898444659
2005-02-28,136.82661555534358
2005-03-31,138.8886402697017
2005-04-30,137.54044709630068
2005-05-31,136.76174668680795
2005-06-30,139.92572322773174
2005-07-31,138.096406736121
2005-08-31,138.00365251005994
2005-09-30,136.98780035395978
2005-10-31,139.7879791236417
2005-11-30,137.4863853190115
2005-12-31,136.5117492016673
2006-01-31,138.24878932876192
2006-02-28,138.4321998232559
2006-03-31,139.19028524325898
2006-04-30,138.85085959367055
2006-05-31,139.4031768293671
2006-06-30,136.64926303226156
2006-07-31,136.45523841173247
2006-08-31,139.55651916396138
2006-09-30,138.32909616766224
2006-10-31,138.0174080549214
2006-11-30,136.6861172759717
2006-12-31,138.3119616450448
2007-01-31,141.36832501458838
2007-02-28,138.10652824180337
2007-03-31,138.7909350536267
2007-04-30,138.70599637613242
2007-05-31,137.5382172121244
2007-06-30,137.20974431849245
2007-07-31,136.11481726756847
2007-08-31,141.91633486759466
2007-09-30,136.62535589668553
2007-10-31,137.48267391271685
2007-11-30,140.62945909005256
2007-12-31,138.67138334611698
2008-01-31,138.25832972711888
2008-02-29,138.2072971128667
2008-03-31,139.17602465802457
2008-04-30,138.13839562863026
2008-05-31,136.14439586573545
2008-06-30,138.70448954539967
2008-07-31,138.09592128752024
2008-08-31,137.22241755449352
2008-09-30,138.6660595171959
2008-10-31,136.56762739968516
2008-11-30,139.40226619671773
2008-12-31,136.12299443568628
2009-01-31,137.43481986580213
2009-02-28,138.5075838417667
2009-03-31,139.17483490587273
2009-04-30,139.92434792016152
2009-05-31,138.10474580956043
2009-06-30,139.31589374199064
2009-07-31,139.9010757414482
2009-08-31,137.25626683543382
2009-09-30,138.44670073646307
2009-10-31,139.72626006724664
2009-11-30,140.9967397785753
2009-12-31,139.68758640624665
2010-01-31,137.68099263912524
2010-02-28,139.23066867792264
2010-03-31,138.9216619507868
2010-04-30,137.27943834850853
2010-05-31,137.64269711326236
2010-06-30,138.20189186295798
2010-07-31,137.73354332741204
2010-08-31,141.149546139188
2010-09-30,139.23008267493222
2010-10-31,137.0493200880854
2010-11-30,138.12962379707923
2010-12-31,138.59521034559398
2011-01-31,137.78676243043145
2011-02-28,139.59931753144627
2011-03-31,138.81415531453624
2011-04-30,139.42091724975595
2011-05-31,137.58901131373833
2011-06-30,138.95625495341858
2011-07-31,136.26837452015528
2011-08-31,137.73605856139895
2011-09-30,138.70710384894988
2011-10-31,139.766040145594
2011-11-30,137.9998469739067
2011-12-31,138.3752503347811
2012-01-31,138.03763101292893
2012-02-29,137.44034391684903
2012-03-31,137.66165062234947
2012-04-30,139.28699886892093
2012-05-31,137.86864396230985
2012-06-30,137.78751757163255
2012-07-31,138.9353577425817
2012-08-31,138.6605947936272
2012-09-30,137.59518117682205
2012-10-31,140.4326577632627
2012-11-30,138.9006517363814
2012-12-31,138.51724948790707
2013-01-31,137.21898099945102
2013-02-28,137.30580899127412
2013-03-31,137.20117656178112
2013-04-30,137.79743385254554
2013-05-31,138.99793458563678
2013-06-30,138.98069622117043
2013-07-31,139.42065974182813
2013-08-31,138.69813179466658
2013-09-30,136.39076829853062
2013-10-31,140.3181697218912
2013-11-30,136.63247803498965
2013-12-31,138.76618773120887
2014-01-31,137.2544866436564
2014-02-28,139.51759849410243
2014-03-31,136.5194752997585
2014-04-30,138.47076394345228
2014-05-31,138.36113871147535
2014-06-30,139.9114971742494
2014-07-31,137.66358950610535
2014-08-31,139.3596577445938
2014-09-30,139.51885670639393
2014-10-31,137.5049050296286
2014-11-30,136.5963952382726
2014-12-31,139.58435491737623
2015-01-31,137.81048254616388
2015-02-28,137.35830320054632
2015-03-31,137.66330799408084
2015-04-30,139.42901023395368
2015-05-31,139.95761370869045
2015-06-30,139.77200094292937
2015-07-31,137.0979154602438
2015-08-31,139.81413548249319
2015-09-30,138.39043776555408
2015-10-31,138.71187173644464
2015-11-30,139.6077278206321
2015-12-31,136.96758449759992
2016-01-31,137.90702653087575
2016-02-29,137.0584597418982
2016-03-31,139.01841510609472
2016-04-30,139.1242954252875
2016-05-31,137.04136966619077
2016-06-30,137.70978596929743
2016-07-31,139.1213658918616
2016-08-31,137.49984345457793
2016-09-30,139.0883883069211
2016-10-31,138.1469448642967
2016-11-30,138.70896643353058
2016-12-31,137.86930082690546
2017-01-31,138.3764886756278
2017-02-28,136.55863625795274
2017-03-31,138.24231831154586
2017-04-30,138.90402745672134
2017-05-31,136.32067222805412
2017-06-30,137.35516239082858
2017-07-31,138.38192245751344
2017-08-31,138.50406721053912
2017-09-30,140.20664481331625
2017-10-31,137.99127919794623
2017-11-30,139.44555216191273
2017-12-31,139.058506311307
2018-01-31,139.11105581170068
2018-02-28,137.44902668891118
2018-03-31,139.19399442716315
2018-04-30,136.69897504141747
2018-05-31,137.1772387141991
2018-06-30,136.9503195424511
2018-07-31,139.60217882167834
2018-08-31,138.56773995035542
2018-09-30,136.82048659646725
2018-10-31,139.9247623374837
2018-11-30,136.56321985477703
2018-12-31,138.87116000689545
2019-01-31,137.15642266551887
2019-02-28,136.36424284594176
2019-03-31,137.55809774640989
2019-04-30,137.44507715192339
2019-05-31,137.5993536930138
2019-06-30,136.25054138034994
2019-07-31,139.808267986198
2019-08-31,139.36854001771084
2019-09-30,139.75939063644867
2019-10-31,140.10411715320816
2019-11-30,139.27342392188638
2019-12-31,136.68486968571725
2020-01-31,138.6710847816298
2020-02-29,137.326774255165
2020-03-31,137.8098084046507
2020-04-30,139.19661489605912
2020-05-31,138.19665723324601
2020-06-30,139.40523635856235
2020-07-31,138.8561655860679
2020-08-31,138.96354260215978
2020-09-30,139.23744895488684
2020-10-31,140.7152539838395
2020-11-30,138.1215676402024
2020-12-31,138.81990251486192
2021-01-31,137.4021565183539
2021-02-28,138.28015554043813
2021-03-31,137.90843561163265
2021-04-30,138.50234682080577
2021-05-31,137.73146736105303
2021-06-30,139.9996809957712
2021-07-31,139.8981540635914
2021-08-31,139.2182978553409
2021-09-30,141.59976132039515
2021-10-31,138.10251233533262
2021-11-30,137.39420855220504
2021-12-31,136.30529051535464
2022-01-31,138.90910469971482
2022-02-28,139.88885563795273
2022-03-31,137.13324663679663
2022-04-30,138.26324636878098
2022-05-31,137.31377955047688
2022-06-30,139.27748986973717
2022-07-31,138.05909653210807
2022-08-31,138.77514767823607
2022-09-30,137.87882254354062
2022-10-31,136.8395937804036
2022-11-30,137.86369269468167
2022-12-31,138.16466631959275
2023-01-31,139.33093602912183
2023-02-28,139.7555806621171
2023-03-31,136.37503897387927
2023-04-30,137.0446215186536
2023-05-31,136.50704194155227
2023-06-30,140.85479522654802
2023-07-31,137.86050030904022
2023-08-31,139.062026544166
2023-09-30,140.7615945903032
2023-10-31,139.2869232506249
2023-11-30,138.10099397786763
2023-12-31,139.5143721110398
2024-01-31,136.7525892696051
2024-02-29,141.73080836813125
2024-03-31,140.03438812538104
2024-04-30,139.61655988748117
2024-05-31,139.13392934374428
2024-06-30,139.0734873826497
2024-07-31,138.62016134829986
2024-08-31,137.83417835460338
2024-09-30,137.80166741570986
2024-10-31,136.7840502287711
2024-11-30,138.9272411851199
2024-12-31,137.28858220247378
2025-01-31,137.96889447669741
2025-02-28,139.19696202665912
2025-03-31,137.70888907385915
2025-04-30,138.09756145916123
