,Valor
2000-01-31,198.3713207325633
2000-02-29,198.15618589034574
2000-03-31,207.2001278881808
2000-04-30,200.98196632053182
2000-05-31,199.98405735351
2000-06-30,199.96450246284377
2000-07-31,198.95916190614747
2000-08-31,198.33819137528147
2000-09-30,200.23426106905325
2000-10-31,198.3200177881506
2000-11-30,198.61510487108964
2000-12-31,200.47026599428855
2001-01-31,198.81678525979316
2001-02-28,198.08054192260042
2001-03-31,199.15837120929496
2001-04-30,200.24073757308904
2001-05-31,203.32044072613434
2001-06-30,200.29997721783593
2001-07-31,198.14116583332697
2001-08-31,203.12204484078134
2001-09-30,200.81670333839926
2001-10-31,198.05433147141184
2001-11-30,199.9502209120565
2001-12-31,201.5421163203167
2002-01-31,198.90464029748404
2002-02-28,199.08531369260294
2002-03-31,198.11786091242834
2002-04-30,198.31925907922806
2002-05-31,202.47657297235642
2002-06-30,198.01845014792116
2002-07-31,200.32506579126442
2002-08-31,198.9896428379206
2002-09-30,200.22686722460466
2002-10-31,202.91680593993007
2002-11-30,205.82228240382298
2002-12-31,201.68363634131435
2003-01-31,198.51370827954594
2003-02-28,198.4914534025454
2003-03-31,198.90495194920655
2003-04-30,199.02122844031516
2003-05-31,198.22811050304148
2003-06-30,201.57103451673547
2003-07-31,198.0134186384049
2003-08-31,200.6434275026147
2003-09-30,198.40382187620236
2003-10-31,199.0882454887775
2003-11-30,199.1869007637402
2003-12-31,200.00117835657005
2004-01-31,198.11125488827997
2004-02-29,199.4802517470241
2004-03-31,200.9911214629031
2004-04-30,206.00998727705775
2004-05-31,201.17818639868082
2004-06-30,201.38863871618923
2004-07-31,200.63986131612916
2004-08-31,200.75680465567638
2004-09-30,198.38938682883696
2004-10-31,200.38977261257943
2004-11-30,200.22868308388465
2004-12-31,199.36882457566276
2005-01-31,201.2377640107415
2005-02-28,198.7641435668648
2005-03-31,201.3932717660785
2005-04-30,206.98277074216108
2005-05-31,200.0398541561681
2005-06-30,199.8262864556518
2005-07-31,205.26092454479067
2005-08-31,198.1611406382832
2005-09-30,200.87101276342597
2005-10-31,199.0835620764063
2005-11-30,199.43141914050585
2005-12-31,199.04932523820247
2006-01-31,199.44117275456435
2006-02-28,198.67212587588335
2006-03-31,199.10091652143436
2006-04-30,200.35439485322252
2006-05-31,199.77583874764326
2006-06-30,199.09574447191355
2006-07-31,198.88063597543524
2006-08-31,199.594352643516
2006-09-30,201.9723552665182
2006-10-31,202.64376140242183
2006-11-30,198.3635640605129
2006-12-31,198.0624179187198
2007-01-31,198.3399138166082
2007-02-28,198.6145139701836
2007-03-31,200.20209401624683
2007-04-30,201.4466909645843
2007-05-31,200.02404895100025
2007-06-30,198.93013260718956
2007-07-31,200.52654934467682
2007-08-31,204.95736063716492
2007-09-30,198.70570983667866
2007-10-31,198.7088418036857
2007-11-30,198.6763725381026
2007-12-31,198.88273764688955
2008-01-31,198.0145188920071
2008-02-29,198.87724914464607
2008-03-31,202.52883406052283
2008-04-30,205.45002901228864
2008-05-31,198.92523318426632
2008-06-30,201.4458105128936
2008-07-31,199.23916543538726
2008-08-31,200.0942329859773
2008-09-30,198.3769171230248
2008-10-31,199.49489624846737
2008-11-30,198.05543525241842
2008-12-31,204.55417124974107
2009-01-31,199.13038643871383
2009-02-28,202.49076196941027
2009-03-31,200.68105939160878
2009-04-30,198.40328350973516
2009-05-31,213.64876197260722
2009-06-30,198.64357330182528
2009-07-31,198.3074205082335
2009-08-31,199.03197463547608
2009-09-30,199.72662257737105
2009-10-31,199.76799097765337
2009-11-30,200.07155371986715
2009-12-31,200.32955483561125
2010-01-31,198.21179780294776
2010-02-28,200.91429652077875
2010-03-31,198.7695841299156
2010-04-30,200.0545341203296
2010-05-31,198.37603770060485
2010-06-30,199.37448584976465
2010-07-31,198.1907541461242
2010-08-31,199.4011804661835
2010-09-30,198.94203254635508
2010-10-31,204.92822833176717
2010-11-30,198.69586494373718
2010-12-31,199.3444667856577
2011-01-31,204.11244196486734
2011-02-28,198.45567347484885
2011-03-31,198.24544258074766
2011-04-30,198.69839404424846
2011-05-31,201.74443666106788
2011-06-30,198.40850642534775
2011-07-31,202.7586299013259
