,Valor
2000-01-31,170.21055246820845
2000-02-29,170.12520308011645
2000-03-31,170.25459316684618
2000-04-30,170.3312059298219
2000-05-31,172.40458585498007
2000-06-30,170.3796010794006
2000-07-31,172.02921558333426
2000-08-31,170.33476498932393
2000-09-30,170.19052113252633
2000-10-31,170.7597588963222
2000-11-30,170.42183989731353
2000-12-31,170.05856035563193
2001-01-31,170.69411630655998
2001-02-28,170.3102624189454
2001-03-31,170.79959518269916
2001-04-30,170.14886895137053
2001-05-31,170.21832688307157
2001-06-30,171.11200199242577
2001-07-31,170.6488103564038
2001-08-31,170.145864589209
2001-09-30,170.0996391512808
2001-10-31,170.09817453727914
2001-11-30,173.79037177367204
2001-12-31,170.80545189492648
2002-01-31,170.222913482485
2002-02-28,170.13039370009642
2002-03-31,171.03122494703257
2002-04-30,170.54239713756854
2002-05-31,171.51189533625708
2002-06-30,171.60478418417242
2002-07-31,173.219008338387
2002-08-31,170.0468774706333
2002-09-30,171.99416992492476
2002-10-31,170.04058437146455
2002-11-30,170.24067905165586
2002-12-31,170.18335257342048
2003-01-31,170.1975181691606
2003-02-28,171.12761136182897
2003-03-31,173.24106355235432
2003-04-30,170.21770822278725
2003-05-31,170.13181672946362
2003-06-30,170.02462862907208
2003-07-31,171.07414321980627
2003-08-31,170.56037970081417
2003-09-30,170.08537721255078
2003-10-31,170.38356370088465
2003-11-30,170.01836835225305
2003-12-31,170.49681193541818
2004-01-31,170.38903251526804
2004-02-29,172.2814301832369
2004-03-31,170.00921210388822
2004-04-30,170.04994522036537
2004-05-31,170.76055780462585
2004-06-30,170.8700616983286
2004-07-31,170.90173163344681
2004-08-31,171.88799963115167
2004-09-30,171.69104903670896
2004-10-31,170.44306171413683
2004-11-30,170.46003018350874
2004-12-31,170.10443409892198
2005-01-31,172.89829987354037
2005-02-28,172.85987557865954
2005-03-31,171.0275043507105
2005-04-30,170.65675404392098
2005-05-31,170.74854098565527
2005-06-30,170.42247421183407
2005-07-31,172.38946068389163
2005-08-31,170.80214691529895
2005-09-30,170.75253059842956
2005-10-31,171.65830377527064
2005-11-30,170.6695064706763
2005-12-31,170.93690574156219
2006-01-31,172.3416264408134
2006-02-28,170.46152826388354
2006-03-31,170.29910489036644
2006-04-30,170.1435475633157
2006-05-31,171.0331461474049
2006-06-30,170.36267249253578
2006-07-31,172.87190038698043
