,Valor
2000-01-31,123.86389447637202
2000-02-29,122.18307557274898
2000-03-31,126.25475803335571
2000-04-30,123.98636386682814
2000-05-31,121.6510760287631
2000-06-30,127.17689834547332
2000-07-31,124.04315437201646
2000-08-31,124.7148839106351
2000-09-30,122.04750094511212
2000-10-31,122.35238518205408
2000-11-30,124.29497788168425
2000-12-31,123.66840874443402
2001-01-31,122.10833526521755
2001-02-28,123.12251652812311
2001-03-31,122.40306756109871
2001-04-30,124.20353936807687
2001-05-31,126.40763434253576
2001-06-30,123.13007274167374
2001-07-31,123.68709361133213
2001-08-31,122.44220577989837
2001-09-30,121.28813902484067
2001-10-31,121.93440192471681
2001-11-30,124.37143798272267
2001-12-31,123.49432979610663
2002-01-31,123.29522728950609
2002-02-28,125.2907127914719
2002-03-31,129.26183313771688
2002-04-30,125.54815393841704
2002-05-31,124.37207887213289
2002-06-30,132.2937002152583
2002-07-31,123.43637237322642
2002-08-31,124.78651739944245
2002-09-30,125.75100334787189
2002-10-31,127.25402532780598
2002-11-30,127.32206091288127
2002-12-31,123.10683781390696
2003-01-31,124.60106409957362
2003-02-28,125.51279318312612
2003-03-31,123.65976583989737
2003-04-30,124.52235176447701
2003-05-31,122.80393443309919
2003-06-30,121.88383941208912
2003-07-31,122.4229479774272
2003-08-31,127.04081633041223
2003-09-30,130.31602895830412
2003-10-31,130.34292777431315
2003-11-30,124.75260993990058
2003-12-31,123.66885085263623
2004-01-31,129.01150328130896
2004-02-29,124.58868326419163
2004-03-31,131.81563466506609
2004-04-30,125.55499951079203
2004-05-31,126.30197730680767
2004-06-30,122.42778287528466
2004-07-31,130.06995805035868
2004-08-31,122.71004578425186
2004-09-30,126.50371756921106
2004-10-31,127.35844273107912
2004-11-30,126.10354714728172
2004-12-31,125.9483800792573
2005-01-31,125.55216110069054
2005-02-28,124.645172938621
2005-03-31,124.78175033459932
2005-04-30,121.49135201896053
2005-05-31,123.98848241012674
2005-06-30,122.34085779834493
2005-07-31,126.51838867383353
2005-08-31,122.8247892193434
2005-09-30,126.17519574940751
2005-10-31,123.2337220468502
2005-11-30,126.51384892311633
2005-12-31,122.56923787230197
2006-01-31,126.33387061439905
2006-02-28,125.80384020164277
2006-03-31,129.89051381741677
2006-04-30,122.73294821198444
2006-05-31,125.42352754669122
2006-06-30,126.04669720797187
2006-07-31,124.57065322911168
2006-08-31,122.58214919708632
2006-09-30,125.06438429011266
2006-10-31,123.05397513130913
2006-11-30,124.11803292063067
2006-12-31,126.40510576214248
2007-01-31,125.21640382438675
2007-02-28,128.11689338410196
2007-03-31,126.17732306392827
2007-04-30,121.64244169232066
