,Valor
2000-01-31,101
2000-02-29,101
2000-03-31,104
2000-04-30,101
2000-05-31,105
2000-06-30,101
2000-07-31,107
2000-08-31,101
2000-09-30,101
2000-10-31,102
2000-11-30,101
2000-12-31,105
2001-01-31,101
2001-02-28,103
2001-03-31,103
2001-04-30,101
2001-05-31,101
2001-06-30,103
2001-07-31,107
2001-08-31,101
2001-09-30,102
2001-10-31,103
2001-11-30,105
2001-12-31,101
2002-01-31,103
2002-02-28,101
2002-03-31,109
2002-04-30,103
2002-05-31,102
2002-06-30,103
2002-07-31,101
2002-08-31,101
2002-09-30,102
2002-10-31,103
2002-11-30,102
2002-12-31,101
2003-01-31,103
2003-02-28,106
2003-03-31,101
2003-04-30,101
2003-05-31,101
2003-06-30,103
2003-07-31,101
2003-08-31,103
2003-09-30,101
2003-10-31,103
2003-11-30,102
2003-12-31,101
2004-01-31,101
2004-02-29,101
2004-03-31,103
2004-04-30,101
2004-05-31,104
2004-06-30,101
2004-07-31,107
2004-08-31,110
2004-09-30,101
2004-10-31,102
2004-11-30,101
2004-12-31,101
2005-01-31,101
2005-02-28,101
2005-03-31,106
2005-04-30,106
2005-05-31,107
2005-06-30,104
2005-07-31,101
2005-08-31,114
2005-09-30,102
2005-10-31,101
2005-11-30,101
2005-12-31,102
2006-01-31,103
2006-02-28,101
2006-03-31,101
2006-04-30,101
2006-05-31,104
2006-06-30,104
2006-07-31,101
2006-08-31,103
2006-09-30,101
2006-10-31,101
2006-11-30,102
2006-12-31,102
2007-01-31,104
2007-02-28,101
2007-03-31,102
2007-04-30,102
2007-05-31,104
2007-06-30,103
2007-07-31,101
2007-08-31,101
2007-09-30,101
2007-10-31,101
2007-11-30,102
2007-12-31,102
2008-01-31,101
2008-02-29,103
2008-03-31,101
2008-04-30,101
2008-05-31,101
2008-06-30,101
2008-07-31,103
2008-08-31,101
2008-09-30,101
2008-10-31,102
2008-11-30,102
2008-12-31,101
2009-01-31,103
2009-02-28,109
2009-03-31,103
2009-04-30,102
2009-05-31,102
2009-06-30,101
2009-07-31,107
2009-08-31,102
2009-09-30,102
2009-10-31,101
2009-11-30,101
2009-12-31,102
2010-01-31,104
2010-02-28,103
2010-03-31,101
2010-04-30,101
2010-05-31,101
2010-06-30,104
2010-07-31,102
2010-08-31,103
2010-09-30,109
2010-10-31,107
2010-11-30,103
2010-12-31,103
2011-01-31,106
2011-02-28,101
2011-03-31,105
2011-04-30,102
2011-05-31,102
2011-06-30,102
2011-07-31,102
2011-08-31,101
2011-09-30,102
2011-10-31,101
2011-11-30,101
2011-12-31,103
2012-01-31,101
2012-02-29,103
2012-03-31,106
2012-04-30,102
2012-05-31,101
2012-06-30,101
2012-07-31,105
2012-08-31,101
2012-09-30,101
2012-10-31,104
2012-11-30,104
2012-12-31,103
2013-01-31,103
2013-02-28,111
2013-03-31,102
2013-04-30,106
2013-05-31,101
2013-06-30,101
2013-07-31,102
2013-08-31,103
2013-09-30,108
2013-10-31,104
2013-11-30,104
2013-12-31,103
2014-01-31,101
2014-02-28,101
2014-03-31,117
2014-04-30,102
2014-05-31,101
2014-06-30,101
2014-07-31,103
2014-08-31,101
2014-09-30,101
2014-10-31,104
2014-11-30,101
2014-12-31,101
2015-01-31,101
2015-02-28,102
2015-03-31,101
2015-04-30,103
2015-05-31,103
2015-06-30,103
2015-07-31,104
2015-08-31,103
2015-09-30,101
2015-10-31,103
2015-11-30,101
2015-12-31,104
2016-01-31,101
2016-02-29,101
2016-03-31,102
2016-04-30,101
2016-05-31,101
2016-06-30,104
2016-07-31,102
2016-08-31,101
2016-09-30,108
2016-10-31,104
2016-11-30,107
2016-12-31,103
2017-01-31,107
2017-02-28,101
2017-03-31,101
2017-04-30,101
2017-05-31,102
2017-06-30,104
2017-07-31,101
2017-08-31,101
2017-09-30,103
2017-10-31,103
2017-11-30,102
2017-12-31,114
2018-01-31,102
2018-02-28,103
2018-03-31,104
2018-04-30,102
2018-05-31,103
2018-06-30,102
2018-07-31,103
2018-08-31,102
2018-09-30,103
2018-10-31,101
2018-11-30,112
2018-12-31,102
2019-01-31,101
2019-02-28,103
2019-03-31,105
2019-04-30,103
2019-05-31,103
2019-06-30,106
2019-07-31,104
2019-08-31,103
2019-09-30,106
2019-10-31,101
2019-11-30,102
2019-12-31,103
2020-01-31,102
2020-02-29,103
2020-03-31,105
2020-04-30,107
2020-05-31,105
2020-06-30,103
2020-07-31,102
2020-08-31,102
2020-09-30,101
2020-10-31,101
2020-11-30,104
2020-12-31,102
2021-01-31,104
2021-02-28,101
2021-03-31,103
2021-04-30,101
2021-05-31,101
2021-06-30,102
2021-07-31,101
2021-08-31,108
2021-09-30,103
2021-10-31,106
2021-11-30,104
2021-12-31,101
2022-01-31,101
2022-02-28,101
2022-03-31,103
2022-04-30,101
2022-05-31,101
2022-06-30,104
2022-07-31,107
2022-08-31,106
2022-09-30,102
2022-10-31,101
2022-11-30,107
2022-12-31,103
2023-01-31,101
2023-02-28,101
2023-03-31,102
2023-04-30,111
2023-05-31,103
2023-06-30,101
2023-07-31,101
2023-08-31,105
2023-09-30,103
2023-10-31,102
2023-11-30,102
2023-12-31,102
2024-01-31,103
2024-02-29,104
2024-03-31,101
2024-04-30,102
2024-05-31,101
2024-06-30,101
2024-07-31,102
2024-08-31,105
2024-09-30,104
2024-10-31,102
2024-11-30,110
2024-12-31,101
2025-01-31,103
2025-02-28,105
2025-03-31,104
2025-04-30,101
2025-05-31,101
2025-06-30,102
2025-07-31,101
2025-08-31,101
2025-09-30,101
2025-10-31,101
2025-11-30,102
2025-12-31,103
2026-01-31,101
2026-02-28,102
2026-03-31,101
2026-04-30,103
2026-05-31,101
2026-06-30,102
2026-07-31,101
2026-08-31,106
2026-09-30,102
2026-10-31,101
2026-11-30,102
2026-12-31,102
2027-01-31,103
2027-02-28,106
2027-03-31,101
2027-04-30,103
2027-05-31,101
2027-06-30,104
2027-07-31,102
2027-08-31,101
2027-09-30,104
2027-10-31,101
2027-11-30,110
2027-12-31,103
2028-01-31,116
2028-02-29,101
2028-03-31,104
2028-04-30,101
2028-05-31,101
2028-06-30,101
2028-07-31,102
2028-08-31,102
2028-09-30,101
2028-10-31,103
2028-11-30,104
2028-12-31,102
2029-01-31,103
2029-02-28,101
2029-03-31,101
2029-04-30,101
2029-05-31,102
2029-06-30,102
2029-07-31,103
2029-08-31,103
2029-09-30,107
2029-10-31,102
2029-11-30,104
2029-12-31,102
