,Valor
2000-01-31,191
2000-02-29,191
2000-03-31,195
2000-04-30,190
2000-05-31,194
2000-06-30,191
2000-07-31,188
2000-08-31,197
2000-09-30,187
2000-10-31,188
2000-11-30,195
2000-12-31,192
2001-01-31,193
2001-02-28,192
2001-03-31,190
2001-04-30,191
2001-05-31,193
2001-06-30,189
2001-07-31,194
2001-08-31,191
2001-09-30,196
2001-10-31,192
2001-11-30,188
2001-12-31,195
2002-01-31,194
2002-02-28,191
2002-03-31,191
2002-04-30,189
2002-05-31,189
2002-06-30,192
2002-07-31,195
2002-08-31,190
2002-09-30,193
2002-10-31,194
2002-11-30,191
2002-12-31,189
2003-01-31,191
2003-02-28,191
2003-03-31,192
2003-04-30,194
2003-05-31,191
2003-06-30,195
2003-07-31,196
2003-08-31,192
2003-09-30,190
2003-10-31,191
2003-11-30,195
2003-12-31,195
2004-01-31,194
2004-02-29,191
2004-03-31,194
2004-04-30,195
2004-05-31,192
2004-06-30,194
2004-07-31,193
2004-08-31,194
2004-09-30,193
2004-10-31,192
2004-11-30,194
2004-12-31,193
2005-01-31,188
2005-02-28,196
2005-03-31,192
2005-04-30,189
2005-05-31,191
2005-06-30,194
2005-07-31,190
2005-08-31,189
2005-09-30,189
2005-10-31,192
2005-11-30,191
2005-12-31,191
2006-01-31,196
2006-02-28,191
2006-03-31,191
2006-04-30,193
2006-05-31,192
2006-06-30,196
2006-07-31,196
2006-08-31,193
2006-09-30,193
2006-10-31,189
2006-11-30,194
2006-12-31,194
2007-01-31,189
2007-02-28,193
2007-03-31,189
2007-04-30,194
2007-05-31,194
2007-06-30,192
2007-07-31,190
2007-08-31,195
2007-09-30,191
2007-10-31,195
2007-11-30,193
2007-12-31,193
2008-01-31,197
2008-02-29,192
2008-03-31,190
2008-04-30,192
2008-05-31,189
2008-06-30,193
2008-07-31,188
2008-08-31,187
2008-09-30,194
2008-10-31,193
2008-11-30,192
2008-12-31,191
2009-01-31,191
2009-02-28,191
2009-03-31,194
2009-04-30,190
2009-05-31,193
2009-06-30,190
2009-07-31,198
2009-08-31,196
2009-09-30,191
2009-10-31,191
2009-11-30,189
2009-12-31,194
2010-01-31,191
2010-02-28,193
2010-03-31,190
2010-04-30,194
2010-05-31,192
2010-06-30,191
2010-07-31,191
2010-08-31,193
2010-09-30,194
2010-10-31,193
2010-11-30,190
2010-12-31,191
2011-01-31,192
2011-02-28,190
2011-03-31,194
2011-04-30,193
2011-05-31,190
2011-06-30,192
2011-07-31,189
2011-08-31,191
2011-09-30,190
2011-10-31,192
2011-11-30,195
2011-12-31,191
2012-01-31,192
2012-02-29,194
2012-03-31,195
2012-04-30,193
2012-05-31,193
2012-06-30,189
2012-07-31,191
2012-08-31,195
2012-09-30,191
2012-10-31,190
2012-11-30,191
2012-12-31,192
2013-01-31,193
2013-02-28,191
2013-03-31,194
2013-04-30,190
2013-05-31,187
2013-06-30,193
2013-07-31,190
2013-08-31,194
2013-09-30,192
2013-10-31,194
2013-11-30,192
2013-12-31,192
2014-01-31,196
2014-02-28,195
2014-03-31,194
2014-04-30,196
2014-05-31,193
2014-06-30,192
2014-07-31,193
2014-08-31,195
2014-09-30,192
2014-10-31,194
2014-11-30,192
2014-12-31,196
2015-01-31,193
2015-02-28,195
2015-03-31,192
2015-04-30,192
2015-05-31,193
2015-06-30,195
2015-07-31,192
2015-08-31,192
2015-09-30,193
2015-10-31,195
2015-11-30,194
2015-12-31,196
2016-01-31,189
2016-02-29,193
2016-03-31,193
2016-04-30,192
2016-05-31,193
2016-06-30,194
2016-07-31,195
2016-08-31,194
2016-09-30,192
2016-10-31,193
2016-11-30,189
2016-12-31,192
2017-01-31,190
2017-02-28,191
2017-03-31,191
2017-04-30,195
2017-05-31,191
2017-06-30,194
2017-07-31,191
2017-08-31,193
2017-09-30,193
2017-10-31,191
2017-11-30,189
2017-12-31,188
2018-01-31,192
2018-02-28,193
2018-03-31,193
2018-04-30,191
2018-05-31,190
2018-06-30,194
2018-07-31,192
2018-08-31,192
2018-09-30,193
2018-10-31,190
2018-11-30,192
2018-12-31,194
2019-01-31,191
2019-02-28,192
2019-03-31,189
2019-04-30,194
2019-05-31,194
2019-06-30,195
2019-07-31,194
2019-08-31,194
2019-09-30,190
2019-10-31,189
2019-11-30,194
2019-12-31,192
2020-01-31,194
2020-02-29,197
2020-03-31,190
2020-04-30,191
2020-05-31,191
2020-06-30,193
2020-07-31,193
2020-08-31,192
2020-09-30,190
2020-10-31,193
2020-11-30,192
2020-12-31,194
2021-01-31,190
2021-02-28,194
2021-03-31,195
2021-04-30,193
2021-05-31,188
2021-06-30,192
2021-07-31,194
2021-08-31,191
2021-09-30,195
2021-10-31,193
2021-11-30,193
2021-12-31,195
2022-01-31,190
2022-02-28,189
2022-03-31,190
2022-04-30,193
2022-05-31,193
2022-06-30,195
2022-07-31,196
2022-08-31,192
2022-09-30,190
2022-10-31,192
2022-11-30,192
2022-12-31,192
2023-01-31,188
2023-02-28,188
2023-03-31,191
2023-04-30,190
2023-05-31,194
2023-06-30,192
2023-07-31,192
2023-08-31,194
2023-09-30,193
2023-10-31,193
2023-11-30,189
2023-12-31,194
2024-01-31,190
2024-02-29,192
2024-03-31,190
2024-04-30,193
2024-05-31,194
2024-06-30,191
2024-07-31,193
2024-08-31,194
2024-09-30,189
2024-10-31,193
2024-11-30,191
2024-12-31,190
2025-01-31,192
2025-02-28,192
2025-03-31,190
2025-04-30,191
2025-05-31,192
2025-06-30,191
2025-07-31,192
2025-08-31,191
2025-09-30,192
2025-10-31,190
2025-11-30,192
2025-12-31,192
2026-01-31,192
2026-02-28,193
2026-03-31,197
2026-04-30,195
2026-05-31,190
2026-06-30,192
2026-07-31,190
2026-08-31,193
2026-09-30,188
2026-10-31,190
2026-11-30,194
2026-12-31,195
2027-01-31,191
2027-02-28,190
2027-03-31,192
2027-04-30,191
2027-05-31,193
2027-06-30,193
2027-07-31,190
2027-08-31,193
2027-09-30,189
2027-10-31,190
2027-11-30,191
2027-12-31,194
2028-01-31,193
2028-02-29,196
2028-03-31,193
2028-04-30,195
2028-05-31,194
2028-06-30,196
2028-07-31,192
2028-08-31,192
2028-09-30,190
2028-10-31,193
2028-11-30,194
2028-12-31,193
2029-01-31,191
2029-02-28,189
2029-03-31,194
2029-04-30,192
2029-05-31,191
2029-06-30,191
2029-07-31,192
2029-08-31,188
2029-09-30,193
2029-10-31,190
2029-11-30,195
2029-12-31,191
