,Valor
2000-01-31,125.0
2000-02-29,125.7
2000-03-31,126.4
2000-04-30,127.10000000000001
2000-05-31,127.80000000000001
2000-06-30,128.5
2000-07-31,129.2
2000-08-31,129.89999999999998
2000-09-30,130.59999999999997
2000-10-31,131.29999999999995
2000-11-30,131.99999999999994
2000-12-31,132.69999999999993
2001-01-31,133.39999999999992
2001-02-28,134.0999999999999
2001-03-31,134.7999999999999
2001-04-30,135.4999999999999
2001-05-31,136.19999999999987
2001-06-30,136.89999999999986
2001-07-31,137.59999999999985
2001-08-31,138.29999999999984
2001-09-30,138.99999999999983
2001-10-31,139.69999999999982
2001-11-30,140.3999999999998
2001-12-31,141.0999999999998
2002-01-31,141.79999999999978
2002-02-28,142.49999999999977
2002-03-31,143.19999999999976
2002-04-30,143.89999999999975
2002-05-31,144.59999999999974
2002-06-30,145.29999999999973
2002-07-31,145.99999999999972
2002-08-31,146.6999999999997
2002-09-30,147.3999999999997
2002-10-31,148.09999999999968
2002-11-30,148.79999999999967
2002-12-31,149.49999999999966
2003-01-31,150.19999999999965
2003-02-28,150.89999999999964
2003-03-31,151.59999999999962
2003-04-30,152.2999999999996
2003-05-31,152.9999999999996
2003-06-30,153.6999999999996
2003-07-31,154.39999999999958
2003-08-31,155.09999999999957
2003-09-30,155.79999999999956
2003-10-31,156.49999999999955
2003-11-30,157.19999999999953
2003-12-31,157.89999999999952
2004-01-31,158.5999999999995
2004-02-29,159.2999999999995
2004-03-31,159.9999999999995
2004-04-30,160.69999999999948
2004-05-31,161.39999999999947
2004-06-30,162.09999999999945
2004-07-31,162.79999999999944
2004-08-31,163.49999999999943
2004-09-30,164.19999999999942
2004-10-31,164.8999999999994
2004-11-30,165.5999999999994
2004-12-31,166.2999999999994
2005-01-31,166.99999999999937
2005-02-28,167.69999999999936
2005-03-31,168.39999999999935
2005-04-30,169.09999999999934
2005-05-31,169.79999999999933
2005-06-30,170.49999999999932
2005-07-31,171.1999999999993
2005-08-31,171.8999999999993
2005-09-30,172.59999999999928
2005-10-31,173.29999999999927
2005-11-30,173.99999999999926
2005-12-31,174.69999999999925
2006-01-31,175.39999999999924
2006-02-28,176.09999999999923
2006-03-31,176.79999999999922
2006-04-30,177.4999999999992
2006-05-31,178.1999999999992
2006-06-30,178.89999999999918
2006-07-31,179.59999999999917
2006-08-31,180.29999999999916
2006-09-30,180.99999999999915
2006-10-31,181.69999999999914
2006-11-30,182.39999999999912
2006-12-31,183.0999999999991
2007-01-31,183.7999999999991
2007-02-28,184.4999999999991
2007-03-31,185.19999999999908
2007-04-30,185.89999999999907
2007-05-31,186.59999999999906
2007-06-30,187.29999999999905
2007-07-31,187.99999999999903
2007-08-31,188.69999999999902
2007-09-30,189.399999999999
2007-10-31,190.099999999999
2007-11-30,190.799999999999
2007-12-31,191.49999999999898
2008-01-31,192.19999999999897
2008-02-29,192.89999999999895
2008-03-31,193.59999999999894
2008-04-30,194.29999999999893
2008-05-31,194.99999999999892
2008-06-30,195.6999999999989
2008-07-31,196.3999999999989
2008-08-31,197.0999999999989
2008-09-30,197.79999999999887
2008-10-31,198.49999999999886
2008-11-30,199.19999999999885
2008-12-31,199.89999999999884
2009-01-31,200.59999999999883
2009-02-28,201.29999999999882
2009-03-31,201.9999999999988
2009-04-30,202.6999999999988
2009-05-31,203.39999999999878
2009-06-30,204.09999999999877
2009-07-31,204.79999999999876
2009-08-31,205.49999999999875
2009-09-30,206.19999999999874
2009-10-31,206.89999999999873
2009-11-30,207.59999999999872
2009-12-31,208.2999999999987
2010-01-31,208.9999999999987
2010-02-28,209.69999999999868
2010-03-31,210.39999999999867
2010-04-30,211.09999999999866
2010-05-31,211.79999999999865
2010-06-30,212.49999999999864
2010-07-31,213.19999999999862
2010-08-31,213.8999999999986
2010-09-30,214.5999999999986
2010-10-31,215.2999999999986
2010-11-30,215.99999999999858
2010-12-31,216.69999999999857
2011-01-31,217.39999999999856
2011-02-28,218.09999999999854
2011-03-31,218.79999999999853
2011-04-30,219.49999999999852
