,Valor
2000-01-31,225.0
2000-02-29,222.0
2000-03-31,219.0
2000-04-30,216.0
2000-05-31,213.0
2000-06-30,210.0
2000-07-31,207.0
2000-08-31,204.0
2000-09-30,201.0
2000-10-31,198.0
2000-11-30,195.0
2000-12-31,192.0
2001-01-31,189.0
2001-02-28,186.0
2001-03-31,183.0
2001-04-30,180.0
2001-05-31,177.0
2001-06-30,174.0
2001-07-31,171.0
2001-08-31,168.0
2001-09-30,165.0
2001-10-31,162.0
2001-11-30,159.0
2001-12-31,156.0
2002-01-31,153.0
2002-02-28,150.0
2002-03-31,147.0
2002-04-30,144.0
2002-05-31,141.0
2002-06-30,138.0
2002-07-31,135.0
2002-08-31,132.0
2002-09-30,129.0
2002-10-31,126.0
2002-11-30,123.0
2002-12-31,120.0
2003-01-31,117.0
2003-02-28,114.0
2003-03-31,111.0
2003-04-30,108.0
2003-05-31,105.0
2003-06-30,102.0
2003-07-31,99.0
2003-08-31,96.0
2003-09-30,93.0
2003-10-31,90.0
2003-11-30,87.0
2003-12-31,84.0
2004-01-31,81.0
2004-02-29,78.0
2004-03-31,75.0
2004-04-30,72.0
2004-05-31,69.0
2004-06-30,66.0
2004-07-31,63.0
2004-08-31,60.0
2004-09-30,57.0
2004-10-31,54.0
2004-11-30,51.0
2004-12-31,48.0
2005-01-31,45.0
2005-02-28,42.0
2005-03-31,39.0
2005-04-30,36.0
2005-05-31,33.0
2005-06-30,30.0
2005-07-31,27.0
2005-08-31,24.0
2005-09-30,21.0
2005-10-31,18.0
2005-11-30,15.0
2005-12-31,12.0
2006-01-31,9.0
2006-02-28,6.0
2006-03-31,3.0
2006-04-30,0.0
2006-05-31,0.0
2006-06-30,0.0
2006-07-31,0.0
2006-08-31,0.0
2006-09-30,0.0
2006-10-31,0.0
2006-11-30,0.0
2006-12-31,0.0
2007-01-31,0.0
2007-02-28,0.0
2007-03-31,0.0
2007-04-30,0.0
2007-05-31,0.0
2007-06-30,0.0
2007-07-31,0.0
2007-08-31,0.0
2007-09-30,0.0
2007-10-31,0.0
2007-11-30,0.0
2007-12-31,0.0
2008-01-31,0.0
2008-02-29,0.0
2008-03-31,0.0
2008-04-30,0.0
2008-05-31,0.0
2008-06-30,0.0
2008-07-31,0.0
2008-08-31,0.0
2008-09-30,0.0
2008-10-31,0.0
2008-11-30,0.0
2008-12-31,0.0
2009-01-31,0.0
2009-02-28,0.0
2009-03-31,0.0
2009-04-30,0.0
2009-05-31,0.0
2009-06-30,0.0
2009-07-31,0.0
2009-08-31,0.0
2009-09-30,0.0
2009-10-31,0.0
2009-11-30,0.0
2009-12-31,0.0
2010-01-31,0.0
2010-02-28,0.0
2010-03-31,0.0
2010-04-30,0.0
2010-05-31,0.0
2010-06-30,0.0
2010-07-31,0.0
2010-08-31,0.0
2010-09-30,0.0
2010-10-31,0.0
2010-11-30,0.0
2010-12-31,0.0
2011-01-31,0.0
2011-02-28,0.0
2011-03-31,0.0
2011-04-30,0.0
2011-05-31,0.0
2011-06-30,0.0
2011-07-31,0.0
2011-08-31,0.0
2011-09-30,0.0
2011-10-31,0.0
2011-11-30,0.0
2011-12-31,0.0
2012-01-31,0.0
2012-02-29,0.0
2012-03-31,0.0
2012-04-30,0.0
2012-05-31,0.0
2012-06-30,0.0
2012-07-31,0.0
2012-08-31,0.0
2012-09-30,0.0
2012-10-31,0.0
2012-11-30,0.0
2012-12-31,0.0
2013-01-31,0.0
2013-02-28,0.0
2013-03-31,0.0
2013-04-30,0.0
2013-05-31,0.0
2013-06-30,0.0
2013-07-31,0.0
2013-08-31,0.0
2013-09-30,0.0
2013-10-31,0.0
2013-11-30,0.0
2013-12-31,0.0
2014-01-31,0.0
2014-02-28,0.0
2014-03-31,0.0
2014-04-30,0.0
2014-05-31,0.0
2014-06-30,0.0
