,Valor
2000-01-31,200.0
2000-02-29,199.4
2000-03-31,198.8
2000-04-30,198.20000000000002
2000-05-31,197.60000000000002
2000-06-30,197.00000000000003
2000-07-31,196.40000000000003
2000-08-31,195.80000000000004
2000-09-30,195.20000000000005
2000-10-31,194.60000000000005
2000-11-30,194.00000000000006
2000-12-31,193.40000000000006
2001-01-31,192.80000000000007
2001-02-28,192.20000000000007
2001-03-31,191.60000000000008
2001-04-30,191.00000000000009
2001-05-31,190.4000000000001
2001-06-30,189.8000000000001
2001-07-31,189.2000000000001
2001-08-31,188.6000000000001
2001-09-30,188.0000000000001
2001-10-31,187.40000000000012
2001-11-30,186.80000000000013
2001-12-31,186.20000000000013
2002-01-31,185.60000000000014
2002-02-28,185.00000000000014
2002-03-31,184.40000000000015
2002-04-30,183.80000000000015
2002-05-31,183.20000000000016
2002-06-30,182.60000000000016
2002-07-31,182.00000000000017
2002-08-31,181.40000000000018
2002-09-30,180.80000000000018
2002-10-31,180.2000000000002
2002-11-30,179.6000000000002
2002-12-31,179.0000000000002
2003-01-31,178.4000000000002
2003-02-28,177.8000000000002
2003-03-31,177.20000000000022
2003-04-30,176.60000000000022
2003-05-31,176.00000000000023
2003-06-30,175.40000000000023
2003-07-31,174.80000000000024
2003-08-31,174.20000000000024
2003-09-30,173.60000000000025
2003-10-31,173.00000000000026
2003-11-30,172.40000000000026
2003-12-31,171.80000000000027
2004-01-31,171.20000000000027
2004-02-29,170.60000000000028
2004-03-31,170.00000000000028
2004-04-30,169.4000000000003
2004-05-31,168.8000000000003
2004-06-30,168.2000000000003
2004-07-31,167.6000000000003
2004-08-31,167.0000000000003
2004-09-30,166.40000000000032
2004-10-31,165.80000000000032
2004-11-30,165.20000000000033
2004-12-31,164.60000000000034
2005-01-31,164.00000000000034
2005-02-28,163.40000000000035
2005-03-31,162.80000000000035
2005-04-30,162.20000000000036
2005-05-31,161.60000000000036
2005-06-30,161.00000000000037
2005-07-31,160.40000000000038
2005-08-31,159.80000000000038
2005-09-30,159.2000000000004
2005-10-31,158.6000000000004
2005-11-30,158.0000000000004
2005-12-31,157.4000000000004
2006-01-31,156.8000000000004
2006-02-28,156.20000000000041
2006-03-31,155.60000000000042
2006-04-30,155.00000000000043
2006-05-31,154.40000000000043
2006-06-30,153.80000000000044
2006-07-31,153.20000000000044
2006-08-31,152.60000000000045
2006-09-30,152.00000000000045
2006-10-31,151.40000000000046
2006-11-30,150.80000000000047
2006-12-31,150.20000000000047
2007-01-31,149.60000000000048
2007-02-28,149.00000000000048
2007-03-31,148.4000000000005
2007-04-30,147.8000000000005
2007-05-31,147.2000000000005
2007-06-30,146.6000000000005
2007-07-31,146.0000000000005
2007-08-31,145.40000000000052
2007-09-30,144.80000000000052
2007-10-31,144.20000000000053
2007-11-30,143.60000000000053
2007-12-31,143.00000000000054
2008-01-31,142.40000000000055
2008-02-29,141.80000000000055
2008-03-31,141.20000000000056
2008-04-30,140.60000000000056
2008-05-31,140.00000000000057
2008-06-30,139.40000000000057
2008-07-31,138.80000000000058
2008-08-31,138.20000000000059
2008-09-30,137.6000000000006
2008-10-31,137.0000000000006
2008-11-30,136.4000000000006
2008-12-31,135.8000000000006
2009-01-31,135.2000000000006
2009-02-28,134.60000000000062
2009-03-31,134.00000000000063
2009-04-30,133.40000000000063
2009-05-31,132.80000000000064
2009-06-30,132.20000000000064
2009-07-31,131.60000000000065
2009-08-31,131.00000000000065
2009-09-30,130.40000000000066
2009-10-31,129.80000000000067
2009-11-30,129.20000000000067
2009-12-31,128.60000000000068
2010-01-31,128.00000000000068
2010-02-28,127.40000000000069
2010-03-31,126.8000000000007
2010-04-30,126.2000000000007
2010-05-31,125.6000000000007
2010-06-30,125.00000000000071
2010-07-31,124.40000000000072
2010-08-31,123.80000000000072
2010-09-30,123.20000000000073
2010-10-31,122.60000000000073
2010-11-30,122.00000000000074
2010-12-31,121.40000000000074
2011-01-31,120.80000000000075
2011-02-28,120.20000000000076
2011-03-31,119.60000000000076
2011-04-30,119.00000000000077
2011-05-31,118.40000000000077
2011-06-30,117.80000000000078
2011-07-31,117.20000000000078
2011-08-31,116.60000000000079
2011-09-30,116.0000000000008
2011-10-31,115.4000000000008
2011-11-30,114.80000000000081
2011-12-31,114.20000000000081
2012-01-31,113.60000000000082
2012-02-29,113.00000000000082
2012-03-31,112.40000000000083
2012-04-30,111.80000000000084
2012-05-31,111.20000000000084
2012-06-30,110.60000000000085
2012-07-31,110.00000000000085
2012-08-31,109.40000000000086
2012-09-30,108.80000000000086
2012-10-31,108.20000000000087
2012-11-30,107.60000000000088
2012-12-31,107.00000000000088
2013-01-31,106.40000000000089
2013-02-28,105.80000000000089
2013-03-31,105.2000000000009
2013-04-30,104.6000000000009
2013-05-31,104.00000000000091
2013-06-30,103.40000000000092
2013-07-31,102.80000000000092
2013-08-31,102.20000000000093
2013-09-30,101.60000000000093
2013-10-31,101.00000000000094
2013-11-30,100.40000000000094
2013-12-31,99.80000000000095
2014-01-31,99.20000000000095
2014-02-28,98.60000000000096
2014-03-31,98.00000000000097
2014-04-30,97.40000000000097
2014-05-31,96.80000000000098
2014-06-30,96.20000000000098
2014-07-31,95.60000000000099
2014-08-31,95.000000000001
2014-09-30,94.400000000001
2014-10-31,93.800000000001
2014-11-30,93.20000000000101
2014-12-31,92.60000000000102
2015-01-31,92.00000000000102
2015-02-28,91.40000000000103
2015-03-31,90.80000000000103
2015-04-30,90.20000000000104
2015-05-31,89.60000000000105
2015-06-30,89.00000000000105
2015-07-31,88.40000000000106
2015-08-31,87.80000000000106
2015-09-30,87.20000000000107
2015-10-31,86.60000000000107
2015-11-30,86.00000000000108
2015-12-31,85.40000000000109
2016-01-31,84.80000000000109
2016-02-29,84.2000000000011
2016-03-31,83.6000000000011
2016-04-30,83.00000000000111
2016-05-31,82.40000000000111
2016-06-30,81.80000000000112
2016-07-31,81.20000000000113
2016-08-31,80.60000000000113
2016-09-30,80.00000000000114
2016-10-31,79.40000000000114
2016-11-30,78.80000000000115
2016-12-31,78.20000000000115
