,Valor
2000-01-31,213.12289043814252
2000-02-29,209.58316935887646
2000-03-31,209.076761573881
2000-04-30,209.2838857751995
2000-05-31,216.87502975152182
2000-06-30,220.55081096444857
2000-07-31,231.68696982650854
2000-08-31,221.9885684996385
2000-09-30,211.96594192462453
2000-10-31,237.21488784228865
2000-11-30,216.96520024188163
2000-12-31,212.42528250353948
2001-01-31,215.15834542123207
2001-02-28,210.83591651336891
2001-03-31,211.2411534171078
2001-04-30,213.41011276522485
2001-05-31,220.27118750461784
2001-06-30,212.44208087436397
2001-07-31,209.15708725594217
2001-08-31,209.13310409047014
2001-09-30,253.06155389596842
2001-10-31,209.00627840746927
2001-11-30,211.2705498272575
2001-12-31,212.15090886586435
2002-01-31,219.2441806066122
2002-02-28,213.01446442153403
2002-03-31,209.32020794073298
2002-04-30,215.58741489128738
2002-05-31,210.5930767828952
2002-06-30,214.04700085292225
2002-07-31,210.9819223878467
2002-08-31,210.4418579615946
2002-09-30,209.55873819876007
2002-10-31,210.22431866765
2002-11-30,221.74121832470718
2002-12-31,213.6730144629866
2003-01-31,209.0664799285199
2003-02-28,218.83209189231331
2003-03-31,209.18601569325773
2003-04-30,211.73215302936308
2003-05-31,216.182082575758
2003-06-30,220.84409568585534
2003-07-31,211.77443252810616
2003-08-31,221.41338316953102
2003-09-30,212.50540185219745
2003-10-31,210.62833182333065
2003-11-30,210.27806697636368
2003-12-31,211.21751570211592
2004-01-31,209.56281779944
2004-02-29,209.9736014147805
2004-03-31,209.06082571235055
2004-04-30,214.95225067579963
2004-05-31,209.350324821545
2004-06-30,210.9215583256381
2004-07-31,211.7553589083189
2004-08-31,218.36292588644218
2004-09-30,209.8470382398653
2004-10-31,209.50355776926494
2004-11-30,216.32821947415152
2004-12-31,210.7922956164718
2005-01-31,215.5421417136373
2005-02-28,212.31791472476405
2005-03-31,210.52346012274398
2005-04-30,209.65121764841305
2005-05-31,209.55852095297118
2005-06-30,209.891252799228
2005-07-31,214.09658287323245
2005-08-31,212.1100552912278
2005-09-30,212.8610811053332
2005-10-31,209.5477284982401
2005-11-30,212.61603721458917
2005-12-31,212.6675143390798
2006-01-31,210.08893168882656
2006-02-28,221.4131915871348
2006-03-31,209.7963144839766
2006-04-30,211.3233303148261
2006-05-31,211.18850704014474
2006-06-30,218.4329277625705
2006-07-31,210.42445666251493
2006-08-31,213.19398836201978
2006-09-30,211.72694211140936
2006-10-31,222.27499305533348
2006-11-30,210.2502556560822
2006-12-31,216.70275513970188
2007-01-31,217.7636393305567
2007-02-28,369.9755397206958
2007-03-31,209.06886666465908
2007-04-30,216.184202372417
2007-05-31,212.24278604420385
2007-06-30,216.86718383981625
2007-07-31,209.59795085232528
2007-08-31,210.0571779673284
2007-09-30,211.08729245240755
2007-10-31,212.0863756862028
2007-11-30,222.59511646895112
2007-12-31,215.2500951807776
2008-01-31,213.33870274440247
2008-02-29,211.07257093758884
2008-03-31,217.29094166790358
2008-04-30,216.3368652296318
2008-05-31,211.36842270919837
2008-06-30,209.16281417318925
2008-07-31,234.40784845680446
2008-08-31,222.4789900251106
2008-09-30,212.2122237675732
2008-10-31,209.05280787303607
2008-11-30,209.15512209591688
2008-12-31,211.55088241632237
2009-01-31,211.4591826003723
2009-02-28,209.56471124608296
2009-03-31,213.6476128830995
2009-04-30,222.83464471364144
2009-05-31,209.00196219925581
2009-06-30,219.72665800209245
2009-07-31,213.2378281151953
2009-08-31,210.19271111870572
2009-09-30,213.83063731655432
2009-10-31,210.14289211104784
2009-11-30,209.2607279141008
2009-12-31,219.71708064953717
2010-01-31,212.4201854069055
2010-02-28,216.02955609239535
2010-03-31,212.46370004409027
2010-04-30,210.1847278321875
2010-05-31,210.2124735072966
2010-06-30,209.706588371685
2010-07-31,212.76053980573877
2010-08-31,209.5214716743204
2010-09-30,209.89664043478362
2010-10-31,213.53115779921626
2010-11-30,209.7029340907441
2010-12-31,209.1727045544082
2011-01-31,209.10869676911292
2011-02-28,209.32850583642227
2011-03-31,209.29756136339154
2011-04-30,209.23818019339376
2011-05-31,211.83469186961142
2011-06-30,212.68686833241486
2011-07-31,232.71993683318993
2011-08-31,213.59471463329808
2011-09-30,214.74227235212268
2011-10-31,215.54289320673772
2011-11-30,214.23669589482026
2011-12-31,211.29245759738407
2012-01-31,210.68927696737745
2012-02-29,222.51466307644978
2012-03-31,210.63864568771567
2012-04-30,227.89956825606032
2012-05-31,213.40538963368658
2012-06-30,222.90572390078273
2012-07-31,209.7779929662676
2012-08-31,209.57343531899792
2012-09-30,221.14663043953195
2012-10-31,213.92604841670752
2012-11-30,215.22985488823025
2012-12-31,210.41290683312087
2013-01-31,211.69599666983004
2013-02-28,209.55386999047107
2013-03-31,216.88848013037912
2013-04-30,220.7266500632967
2013-05-31,210.50900320826972
2013-06-30,209.07320710876442
2013-07-31,209.59384958566662
2013-08-31,209.10544938684282
2013-09-30,220.88339535437927
2013-10-31,212.48061326220116
2013-11-30,214.24512270829842
2013-12-31,224.2288562314218
2014-01-31,215.5369472275265
2014-02-28,217.58100820869998
2014-03-31,213.712601795705
2014-04-30,210.60798494901604
2014-05-31,215.22279443865216
2014-06-30,213.4748696553973
2014-07-31,209.14574396192396
2014-08-31,209.39631185036075
2014-09-30,212.11662959618516
2014-10-31,210.3771292336576
2014-11-30,211.92609368867036
2014-12-31,209.61844351420785
2015-01-31,212.18306686886893
2015-02-28,209.55717713091212
2015-03-31,212.3106221403833
2015-04-30,209.05601058341918
2015-05-31,209.01645050800403
2015-06-30,221.44067997680887
2015-07-31,211.18869824149613
2015-08-31,213.4739159049046
2015-09-30,212.8444909616433
2015-10-31,210.67944566275477
2015-11-30,212.36634999435137
2015-12-31,209.70868071441035
2016-01-31,209.24454053685943
2016-02-29,209.01180397876698
2016-03-31,210.6788383437846
2016-04-30,209.39449603625405
2016-05-31,210.41134451087146
2016-06-30,209.7092018650716
2016-07-31,214.116989676348
2016-08-31,217.239777286446
2016-09-30,210.76787053544888
2016-10-31,215.99466280316187
2016-11-30,209.9636126252377
2016-12-31,210.25852930557062
2017-01-31,209.55239665519574
2017-02-28,248.60825720181043
2017-03-31,211.99001362263374
2017-04-30,211.36162800934358
2017-05-31,210.4548396895096
2017-06-30,227.61224828223476
2017-07-31,212.2708643375831
2017-08-31,214.69529958625822
2017-09-30,221.65730312899873
2017-10-31,214.97813035657768
2017-11-30,210.19648772736582
2017-12-31,212.52469423343695
2018-01-31,210.86633439931023
2018-02-28,210.21881763724116
2018-03-31,209.7250696551557
2018-04-30,209.35554390138728
2018-05-31,216.94967870517718
2018-06-30,217.38373476207155
2018-07-31,213.45177839738918
2018-08-31,210.3341049625742
2018-09-30,211.97576690300863
2018-10-31,210.42591170664727
2018-11-30,215.7124096898402
2018-12-31,225.31786662010973
2019-01-31,209.86570975387784
2019-02-28,209.74205797647957
2019-03-31,215.14975422099326
2019-04-30,210.13046078818587
2019-05-31,221.77004935662686
2019-06-30,209.90801683699254
2019-07-31,211.48758079193223
2019-08-31,209.2092316280472
2019-09-30,215.31565122223986
2019-10-31,209.04985077877143
2019-11-30,211.92506575000763
2019-12-31,212.3893141754112
2020-01-31,212.2967164286293
2020-02-29,219.1698209800354
2020-03-31,210.59826599575172
2020-04-30,209.80900168905833
2020-05-31,209.74185336642034
2020-06-30,220.68296437319896
2020-07-31,210.71077972777292
2020-08-31,210.2958102253319
2020-09-30,215.61935578959745
2020-10-31,209.24811279512255
2020-11-30,210.68497062124845
2020-12-31,213.96831939969917
2021-01-31,222.50375956239884
2021-02-28,209.39810743419596
2021-03-31,209.1389333530891
2021-04-30,211.00296215964602
2021-05-31,215.00394363536884
2021-06-30,209.05043325145786
2021-07-31,214.6457755219901
2021-08-31,215.39822811313223
2021-09-30,224.39966267454827
2021-10-31,211.6529274689944
2021-11-30,209.15655949996946
2021-12-31,211.87583061584687
2022-01-31,209.11591093489767
2022-02-28,211.89455938059595
2022-03-31,209.12387129973004
2022-04-30,214.97424699063856
2022-05-31,211.36205319503668
2022-06-30,209.34998179266256
2022-07-31,211.1426950140539
2022-08-31,209.21747580116275
2022-09-30,210.3894393127294
2022-10-31,209.3411723411736
2022-11-30,209.9990828158663
2022-12-31,210.1338026039057
2023-01-31,214.17238452799486
2023-02-28,212.98259113790752
2023-03-31,214.40965763961717
2023-04-30,217.1317422335154
2023-05-31,212.10897779280162
2023-06-30,209.93162365578172
2023-07-31,209.84882735269227
2023-08-31,209.42934243037135
2023-09-30,218.24456631202523
2023-10-31,213.3550527706685
2023-11-30,209.84809915316242
2023-12-31,209.38545458695208
2024-01-31,209.73073953382803
2024-02-29,210.53687905463366
2024-03-31,228.55409330923146
2024-04-30,212.19598512366127
2024-05-31,209.6341287431017
2024-06-30,239.50521640147235
2024-07-31,211.02278153645858
2024-08-31,211.39400236961515
2024-09-30,212.40319387840347
2024-10-31,211.94254432111867
2024-11-30,215.35564765485896
2024-12-31,210.17193182987603
2025-01-31,233.88254033953254
2025-02-28,209.38581142479953
2025-03-31,216.34837152986665
2025-04-30,211.1894440393323
2025-05-31,211.71005100064303
