,Valor
2000-01-31,111.8955236664134
2000-02-29,113.3462438043242
2000-03-31,111.32495804054437
2000-04-30,115.94230767981747
2000-05-31,114.1116390759674
2000-06-30,112.63752547030921
2000-07-31,112.86267115385164
2000-08-31,116.82855706104158
2000-09-30,111.95985470799216
2000-10-31,115.1462238428463
2000-11-30,115.94560085044385
2000-12-31,112.56138168297139
2001-01-31,113.89920950616295
2001-02-28,113.09732024402999
2001-03-31,112.2494028069638
2001-04-30,111.24912675608668
2001-05-31,118.71889546859109
2001-06-30,112.21166800071762
2001-07-31,113.71345044833377
2001-08-31,113.12464087626282
2001-09-30,113.59228181358628
2001-10-31,111.0662097337142
2001-11-30,111.30918218933172
2001-12-31,111.96816283822598
2002-01-31,111.43997655146262
2002-02-28,113.30626720801682
2002-03-31,111.12519802970023
2002-04-30,113.18369689484335
2002-05-31,111.39886213927385
2002-06-30,112.427470599863
2002-07-31,111.98880991354636
2002-08-31,117.09802441176234
2002-09-30,111.83810077028659
2002-10-31,112.68764347037967
2002-11-30,112.87353699515155
2002-12-31,115.52874168970126
2003-01-31,111.15746468707785
2003-02-28,111.91608221772431
2003-03-31,112.39514195375247
2003-04-30,112.45042777587398
2003-05-31,115.27952931884818
2003-06-30,114.01379032424727
2003-07-31,112.00576794395579
2003-08-31,112.06654752031753
2003-09-30,114.76833526798008
2003-10-31,118.38051182345264
2003-11-30,113.18680883797967
2003-12-31,111.64797509258956
2004-01-31,113.2779149812277
2004-02-29,116.45079586709949
2004-03-31,113.1980541239264
2004-04-30,115.89257292487383
2004-05-31,112.87403950315883
2004-06-30,116.21658255074732
2004-07-31,111.75118062094107
2004-08-31,111.86266904209819
2004-09-30,113.27483780721235
2004-10-31,114.6760324686077
2004-11-30,114.84713811426036
2004-12-31,111.72314562859941
2005-01-31,114.50121066313167
2005-02-28,111.26941114104991
2005-03-31,111.59377407425416
2005-04-30,117.50200315337274
2005-05-31,111.38144514949042
2005-06-30,113.38352234872326
2005-07-31,113.8061056340029
2005-08-31,112.7570099839503
2005-09-30,113.32351670192399
2005-10-31,111.42494020828772
2005-11-30,132.670606900009
2005-12-31,115.07622066866742
2006-01-31,112.90681092952869
2006-02-28,112.26021887448485
2006-03-31,115.88269145979737
2006-04-30,114.00787069727214
2006-05-31,112.02205135883219
2006-06-30,114.31433692950709
2006-07-31,113.60110225247112
2006-08-31,112.82132785848064
2006-09-30,112.00083158876892
2006-10-31,111.0147948894086
2006-11-30,113.68662372123573
2006-12-31,112.76101309540307
2007-01-31,111.17028543704829
2007-02-28,112.93581017127347
2007-03-31,111.1815470028169
2007-04-30,111.70154536813787
2007-05-31,111.54414737183195
2007-06-30,111.35846579869623
2007-07-31,113.14170866945494
2007-08-31,113.51593637513793
2007-09-30,113.04743550832937
2007-10-31,114.66951949864261
2007-11-30,116.49084686613485
2007-12-31,111.66206501688202
2008-01-31,113.00069513384591
2008-02-29,112.02656391304458
2008-03-31,115.48228291519068
2008-04-30,112.89620693470881
2008-05-31,111.1507685537662
2008-06-30,117.44559689083158
2008-07-31,113.33195935715516
2008-08-31,114.34199593591103
2008-09-30,118.45908293825804
2008-10-31,111.22048174832656
2008-11-30,111.30281575852928
2008-12-31,115.69273404125224
2009-01-31,111.08512273757395
2009-02-28,112.05183644392828
2009-03-31,112.97002828627298
2009-04-30,123.7816850209357
2009-05-31,111.78522975906736
2009-06-30,111.22366605908668
2009-07-31,112.3503376221804
2009-08-31,111.63829970116464
2009-09-30,111.33085938841131
2009-10-31,114.14840613129363
2009-11-30,112.80806968676232
2009-12-31,115.5945503130107
2010-01-31,114.21375153070484
2010-02-28,113.83735337841898
2010-03-31,111.1867968761072
2010-04-30,112.65452748099489
2010-05-31,112.12715472551795
2010-06-30,111.59487224198278
2010-07-31,131.8811131926911
2010-08-31,113.56850824840114
2010-09-30,111.58226796047286
2010-10-31,113.06666546296478
2010-11-30,117.9433607031064
2010-12-31,113.08565584076784
2011-01-31,115.90107082406081
2011-02-28,115.36822009170274
2011-03-31,113.546219498876
2011-04-30,113.55530920410781
2011-05-31,112.40432532604248
2011-06-30,111.30708971713827
2011-07-31,111.01008367750777
2011-08-31,116.57107793875915
2011-09-30,111.30101253465199
2011-10-31,124.07074822556606
2011-11-30,111.00256274469237
2011-12-31,113.86667684647763
2012-01-31,111.40172126164173
2012-02-29,117.81591266237896
2012-03-31,111.80003570061497
2012-04-30,120.0267062362276
2012-05-31,129.22457976774268
2012-06-30,114.94312803488378
2012-07-31,111.589343703401
2012-08-31,111.17741286007617
2012-09-30,113.46810097103408
2012-10-31,111.88859281865653
2012-11-30,112.88585018584091
2012-12-31,113.49139114478234
2013-01-31,114.44736970870535
2013-02-28,112.24097482913417
2013-03-31,113.65427951436632
2013-04-30,112.39292541541857
2013-05-31,114.99876445120584
2013-06-30,112.71641766916031
2013-07-31,112.90183713012226
2013-08-31,157.09917678885574
2013-09-30,111.6943520751368
2013-10-31,112.91727039054656
2013-11-30,111.47864034785013
2013-12-31,112.37321640235501
2014-01-31,117.17546985596992
2014-02-28,118.00781367686378
2014-03-31,114.14990183435889
2014-04-30,113.29142027191496
2014-05-31,113.92247365938701
2014-06-30,112.88307353975645
2014-07-31,111.58320849432498
2014-08-31,113.42392057943042
2014-09-30,112.00612699824602
2014-10-31,118.54801965992368
2014-11-30,112.1609991770725
2014-12-31,111.7128741293092
2015-01-31,111.50257947003483
2015-02-28,111.94247294295425
2015-03-31,111.40064033194942
2015-04-30,122.13370025002928
2015-05-31,114.77144949551088
2015-06-30,114.3341753799013
2015-07-31,114.31944996401555
2015-08-31,113.60471812344329
2015-09-30,111.69318287340907
2015-10-31,115.41319067254281
2015-11-30,113.2694242792851
2015-12-31,159.21296685065644
2016-01-31,114.32185914799999
2016-02-29,111.39634149960075
2016-03-31,114.51452459749075
2016-04-30,111.40239086474595
2016-05-31,119.5375150115423
2016-06-30,141.96201119671866
2016-07-31,118.71120634999514
2016-08-31,116.84831471630577
2016-09-30,111.45037358566343
2016-10-31,115.38521887098327
2016-11-30,112.62036934094873
2016-12-31,125.32735990533237
2017-01-31,111.6767545958667
2017-02-28,113.57994689337391
2017-03-31,113.5829788460052
2017-04-30,111.29453742008201
2017-05-31,111.46519892779574
2017-06-30,115.98639613082278
2017-07-31,111.27666749484219
2017-08-31,111.17519808849063
2017-09-30,111.74185606526633
2017-10-31,111.06014211521347
2017-11-30,113.43819957394378
2017-12-31,111.95824096464416
2018-01-31,112.12065227740801
2018-02-28,112.37776283925851
2018-03-31,113.66754097650819
2018-04-30,113.60915181363946
2018-05-31,111.04524458157093
2018-06-30,111.63721727165404
2018-07-31,111.78684163457419
2018-08-31,112.42260820215216
2018-09-30,111.39746717992946
2018-10-31,111.65243818885823
2018-11-30,111.16358259336073
2018-12-31,117.41788207051707
2019-01-31,115.24171490580517
2019-02-28,115.6690125199544
2019-03-31,119.59873511129743
2019-04-30,112.2899741330673
2019-05-31,111.62620801936205
2019-06-30,111.17211740366606
2019-07-31,114.23501662342468
2019-08-31,116.48057386033202
2019-09-30,112.0298433541176
2019-10-31,113.28559758462481
2019-11-30,114.88971313711967
2019-12-31,112.11989486773341
2020-01-31,114.93140046042029
2020-02-29,112.26467987361198
2020-03-31,127.14696296085422
2020-04-30,116.602418743401
2020-05-31,111.64663247811782
2020-06-30,118.24439317413378
2020-07-31,115.05591443246038
2020-08-31,115.78617003609375
2020-09-30,111.0638295740329
2020-10-31,111.65764985167408
2020-11-30,113.84366616460147
2020-12-31,113.95317336095138
2021-01-31,111.32541328173403
2021-02-28,112.39211683178615
2021-03-31,111.03796682873181
2021-04-30,116.1363576712951
2021-05-31,112.31062938684597
2021-06-30,111.6555710492645
2021-07-31,114.81789327632518
2021-08-31,114.09579760760545
2021-09-30,111.50049804718977
2021-10-31,112.47172774633455
2021-11-30,113.43461577472473
2021-12-31,135.9563575090173
2022-01-31,111.82053036024867
2022-02-28,113.29613036698102
2022-03-31,111.3449688751473
2022-04-30,113.96906465452939
2022-05-31,113.66012880092464
2022-06-30,113.80248318575796
2022-07-31,112.2371879006729
2022-08-31,111.10869558215371
2022-09-30,113.46844281333186
2022-10-31,112.23563484810661
2022-11-30,111.53513391925769
2022-12-31,111.16112003910494
2023-01-31,115.30166967490631
2023-02-28,113.00855111569817
2023-03-31,112.72844352397311
2023-04-30,111.32942866147586
2023-05-31,111.08159602756434
2023-06-30,111.19986270575808
2023-07-31,111.08688995874674
2023-08-31,112.62646228521629
2023-09-30,118.0221489356019
2023-10-31,111.97511228032985
2023-11-30,119.34522605220947
2023-12-31,113.89906048934682
2024-01-31,111.50259238086295
2024-02-29,111.74356386112493
2024-03-31,115.55462512318022
2024-04-30,111.8496046845128
2024-05-31,119.05845412259643
2024-06-30,116.48984209220482
2024-07-31,114.10434157167174
2024-08-31,111.70000223420047
2024-09-30,119.67915428462612
2024-10-31,131.25024937518492
2024-11-30,111.73318478805541
2024-12-31,112.96370547764431
2025-01-31,115.03784249403843
2025-02-28,116.63514325771179
2025-03-31,115.05996662124046
2025-04-30,112.55204650512566
2025-05-31,113.37452537169337
2025-06-30,111.31900922545992
2025-07-31,115.71146286681603
2025-08-31,112.70048358753111
2025-09-30,113.03178866834364
2025-10-31,111.45972735873535
2025-11-30,111.17584408969624
2025-12-31,113.59653867558256
2026-01-31,112.86189866042746
2026-02-28,111.73098467077176
2026-03-31,113.13504991331232
