,Valor
2000-01-31,152
2000-02-29,151
2000-03-31,154
2000-04-30,149
2000-05-31,153
2000-06-30,152
2000-07-31,152
2000-08-31,150
2000-09-30,147
2000-10-31,148
2000-11-30,148
2000-12-31,152
2001-01-31,151
2001-02-28,157
2001-03-31,153
2001-04-30,151
2001-05-31,153
2001-06-30,154
2001-07-31,152
2001-08-31,148
2001-09-30,156
2001-10-31,154
2001-11-30,150
2001-12-31,148
2002-01-31,152
2002-02-28,155
2002-03-31,152
2002-04-30,152
2002-05-31,148
2002-06-30,152
2002-07-31,155
2002-08-31,151
2002-09-30,155
2002-10-31,156
2002-11-30,149
2002-12-31,150
2003-01-31,149
2003-02-28,152
2003-03-31,152
2003-04-30,153
2003-05-31,152
2003-06-30,154
2003-07-31,150
2003-08-31,149
2003-09-30,152
2003-10-31,152
2003-11-30,152
2003-12-31,148
2004-01-31,151
2004-02-29,153
2004-03-31,147
2004-04-30,151
2004-05-31,151
2004-06-30,153
2004-07-31,151
2004-08-31,151
2004-09-30,150
2004-10-31,148
2004-11-30,152
2004-12-31,154
2005-01-31,152
2005-02-28,149
2005-03-31,153
2005-04-30,151
2005-05-31,151
2005-06-30,148
2005-07-31,151
2005-08-31,154
2005-09-30,149
2005-10-31,148
2005-11-30,148
2005-12-31,151
2006-01-31,153
2006-02-28,151
2006-03-31,150
2006-04-30,150
2006-05-31,151
2006-06-30,150
2006-07-31,151
2006-08-31,149
2006-09-30,152
2006-10-31,146
2006-11-30,148
2006-12-31,149
2007-01-31,149
2007-02-28,147
2007-03-31,150
2007-04-30,153
2007-05-31,155
2007-06-30,150
2007-07-31,147
2007-08-31,152
2007-09-30,151
2007-10-31,154
2007-11-30,151
2007-12-31,150
2008-01-31,156
2008-02-29,150
2008-03-31,152
2008-04-30,156
2008-05-31,153
2008-06-30,150
2008-07-31,155
2008-08-31,147
2008-09-30,154
2008-10-31,152
2008-11-30,149
2008-12-31,156
2009-01-31,157
2009-02-28,152
2009-03-31,148
2009-04-30,155
2009-05-31,152
2009-06-30,147
2009-07-31,154
2009-08-31,155
2009-09-30,155
2009-10-31,156
2009-11-30,148
2009-12-31,153
