,Valor
2000-01-31,646.3829674968447
2000-02-29,681.0223068120432
2000-03-31,676.0761791391119
2000-04-30,679.5014706241024
2000-05-31,700.8578136012914
2000-06-30,661.7412598256088
2000-07-31,667.8458245331033
2000-08-31,626.2516720438409
2000-09-30,630.491386880819
2000-10-31,615.8034014503128
2000-11-30,635.6441170991766
2000-12-31,666.1378381551883
2001-01-31,646.3829674968447
2001-02-28,681.0223068120432
2001-03-31,676.0761791391119
2001-04-30,679.5014706241024
2001-05-31,700.8578136012914
2001-06-30,661.7412598256088
2001-07-31,667.8458245331033
2001-08-31,626.2516720438409
2001-09-30,630.491386880819
2001-10-31,615.8034014503128
2001-11-30,635.6441170991766
2001-12-31,666.1378381551883
2002-01-31,646.3829674968447
2002-02-28,681.0223068120432
2002-03-31,676.0761791391119
2002-04-30,679.5014706241024
2002-05-31,700.8578136012914
2002-06-30,661.7412598256088
2002-07-31,667.8458245331033
2002-08-31,626.2516720438409
2002-09-30,630.491386880819
2002-10-31,615.8034014503128
2002-11-30,635.6441170991766
2002-12-31,666.1378381551883
2003-01-31,646.3829674968447
2003-02-28,681.0223068120432
2003-03-31,676.0761791391119
2003-04-30,679.5014706241024
2003-05-31,700.8578136012914
2003-06-30,661.7412598256088
2003-07-31,667.8458245331033
2003-08-31,626.2516720438409
2003-09-30,630.491386880819
2003-10-31,615.8034014503128
2003-11-30,635.6441170991766
2003-12-31,666.1378381551883
2004-01-31,646.3829674968447
2004-02-29,681.0223068120432
2004-03-31,676.0761791391119
2004-04-30,679.5014706241024
2004-05-31,700.8578136012914
2004-06-30,661.7412598256088
2004-07-31,667.8458245331033
2004-08-31,626.2516720438409
2004-09-30,630.491386880819
2004-10-31,615.8034014503128
2004-11-30,635.6441170991766
2004-12-31,666.1378381551883
2005-01-31,646.3829674968447
2005-02-28,681.0223068120432
2005-03-31,676.0761791391119
2005-04-30,679.5014706241024
2005-05-31,700.8578136012914
2005-06-30,661.7412598256088
2005-07-31,667.8458245331033
2005-08-31,626.2516720438409
2005-09-30,630.491386880819
2005-10-31,615.8034014503128
2005-11-30,635.6441170991766
2005-12-31,666.1378381551883
2006-01-31,646.3829674968447
2006-02-28,681.0223068120432
2006-03-31,676.0761791391119
2006-04-30,679.5014706241024
2006-05-31,700.8578136012914
2006-06-30,661.7412598256088
2006-07-31,667.8458245331033
2006-08-31,626.2516720438409
2006-09-30,630.491386880819
2006-10-31,615.8034014503128
2006-11-30,635.6441170991766
2006-12-31,666.1378381551883
2007-01-31,646.3829674968447
2007-02-28,681.0223068120432
2007-03-31,676.0761791391119
2007-04-30,679.5014706241024
2007-05-31,700.8578136012914
2007-06-30,661.7412598256088
2007-07-31,667.8458245331033
2007-08-31,626.2516720438409
2007-09-30,630.491386880819
2007-10-31,615.8034014503128
2007-11-30,635.6441170991766
2007-12-31,666.1378381551883
2008-01-31,646.3829674968447
2008-02-29,681.0223068120432
2008-03-31,676.0761791391119
2008-04-30,679.5014706241024
2008-05-31,700.8578136012914
2008-06-30,661.7412598256088
2008-07-31,667.8458245331033
2008-08-31,626.2516720438409
2008-09-30,630.491386880819
2008-10-31,615.8034014503128
2008-11-30,635.6441170991766
2008-12-31,666.1378381551883
2009-01-31,646.3829674968447
2009-02-28,681.0223068120432
2009-03-31,676.0761791391119
2009-04-30,679.5014706241024
2009-05-31,700.8578136012914
2009-06-30,661.7412598256088
2009-07-31,667.8458245331033
2009-08-31,626.2516720438409
2009-09-30,630.491386880819
2009-10-31,615.8034014503128
2009-11-30,635.6441170991766
2009-12-31,666.1378381551883
2010-01-31,646.3829674968447
2010-02-28,681.0223068120432
2010-03-31,676.0761791391119
2010-04-30,679.5014706241024
2010-05-31,700.8578136012914
2010-06-30,661.7412598256088
2010-07-31,667.8458245331033
2010-08-31,626.2516720438409
2010-09-30,630.491386880819
2010-10-31,615.8034014503128
2010-11-30,635.6441170991766
2010-12-31,666.1378381551883
2011-01-31,646.3829674968447
2011-02-28,681.0223068120432
2011-03-31,676.0761791391119
2011-04-30,679.5014706241024
2011-05-31,700.8578136012914
2011-06-30,661.7412598256088
2011-07-31,667.8458245331033
2011-08-31,626.2516720438409
2011-09-30,630.491386880819
2011-10-31,615.8034014503128
2011-11-30,635.6441170991766
2011-12-31,666.1378381551883
2012-01-31,646.3829674968447
2012-02-29,681.0223068120432
2012-03-31,676.0761791391119
2012-04-30,679.5014706241024
2012-05-31,700.8578136012914
2012-06-30,661.7412598256088
2012-07-31,667.8458245331033
2012-08-31,626.2516720438409
2012-09-30,630.491386880819
2012-10-31,615.8034014503128
2012-11-30,635.6441170991766
2012-12-31,666.1378381551883
2013-01-31,646.3829674968447
2013-02-28,681.0223068120432
2013-03-31,676.0761791391119
2013-04-30,679.5014706241024
2013-05-31,700.8578136012914
2013-06-30,661.7412598256088
2013-07-31,667.8458245331033
2013-08-31,626.2516720438409
2013-09-30,630.491386880819
2013-10-31,615.8034014503128
2013-11-30,635.6441170991766
2013-12-31,666.1378381551883
2014-01-31,646.3829674968447
2014-02-28,681.0223068120432
2014-03-31,676.0761791391119
2014-04-30,679.5014706241024
2014-05-31,700.8578136012914
2014-06-30,661.7412598256088
2014-07-31,667.8458245331033
2014-08-31,626.2516720438409
2014-09-30,630.491386880819
2014-10-31,615.8034014503128
2014-11-30,635.6441170991766
2014-12-31,666.1378381551883
2015-01-31,646.3829674968447
2015-02-28,681.0223068120432
2015-03-31,676.0761791391119
2015-04-30,679.5014706241024
2015-05-31,700.8578136012914
2015-06-30,661.7412598256088
2015-07-31,667.8458245331033
2015-08-31,626.2516720438409
2015-09-30,630.491386880819
2015-10-31,615.8034014503128
2015-11-30,635.6441170991766
2015-12-31,666.1378381551883
2016-01-31,646.3829674968447
2016-02-29,681.0223068120432
2016-03-31,676.0761791391119
2016-04-30,679.5014706241024
2016-05-31,700.8578136012914
2016-06-30,661.7412598256088
2016-07-31,667.8458245331033
2016-08-31,626.2516720438409
2016-09-30,630.491386880819
2016-10-31,615.8034014503128
2016-11-30,635.6441170991766
2016-12-31,666.1378381551883
2017-01-31,646.3829674968447
2017-02-28,681.0223068120432
2017-03-31,676.0761791391119
2017-04-30,679.5014706241024
2017-05-31,700.8578136012914
2017-06-30,661.7412598256088
2017-07-31,667.8458245331033
2017-08-31,626.2516720438409
2017-09-30,630.491386880819
2017-10-31,615.8034014503128
2017-11-30,635.6441170991766
2017-12-31,666.1378381551883
2018-01-31,646.3829674968447
2018-02-28,681.0223068120432
2018-03-31,676.0761791391119
2018-04-30,679.5014706241024
2018-05-31,700.8578136012914
2018-06-30,661.7412598256088
2018-07-31,667.8458245331033
2018-08-31,626.2516720438409
2018-09-30,630.491386880819
2018-10-31,615.8034014503128
2018-11-30,635.6441170991766
2018-12-31,666.1378381551883
2019-01-31,646.3829674968447
2019-02-28,681.0223068120432
2019-03-31,676.0761791391119
2019-04-30,679.5014706241024
2019-05-31,700.8578136012914
2019-06-30,661.7412598256088
2019-07-31,667.8458245331033
2019-08-31,626.2516720438409
2019-09-30,630.491386880819
2019-10-31,615.8034014503128
2019-11-30,635.6441170991766
2019-12-31,666.1378381551883
2020-01-31,646.3829674968447
2020-02-29,681.0223068120432
2020-03-31,676.0761791391119
2020-04-30,679.5014706241024
2020-05-31,700.8578136012914
2020-06-30,661.7412598256088
2020-07-31,667.8458245331033
2020-08-31,626.2516720438409
2020-09-30,630.491386880819
2020-10-31,615.8034014503128
2020-11-30,635.6441170991766
2020-12-31,666.1378381551883
2021-01-31,646.3829674968447
2021-02-28,681.0223068120432
2021-03-31,676.0761791391119
2021-04-30,679.5014706241024
2021-05-31,700.8578136012914
2021-06-30,661.7412598256088
2021-07-31,667.8458245331033
2021-08-31,626.2516720438409
2021-09-30,630.491386880819
2021-10-31,615.8034014503128
2021-11-30,635.6441170991766
2021-12-31,666.1378381551883
2022-01-31,646.3829674968447
2022-02-28,681.0223068120432
2022-03-31,676.0761791391119
2022-04-30,679.5014706241024
2022-05-31,700.8578136012914
2022-06-30,661.7412598256088
2022-07-31,667.8458245331033
2022-08-31,626.2516720438409
2022-09-30,630.491386880819
2022-10-31,615.8034014503128
2022-11-30,635.6441170991766
2022-12-31,666.1378381551883
2023-01-31,646.3829674968447
2023-02-28,681.0223068120432
2023-03-31,676.0761791391119
2023-04-30,679.5014706241024
2023-05-31,700.8578136012914
2023-06-30,661.7412598256088
2023-07-31,667.8458245331033
