,Valor
2000-01-31,670.4190074044197
2000-02-29,624.2749913981414
2000-03-31,629.7178131507144
2000-04-30,650.5210316274911
2000-05-31,611.8860900378935
2000-06-30,632.4701083624293
2000-07-31,657.0408614463684
2000-08-31,622.3765266085463
2000-09-30,625.7065360443728
2000-10-31,663.5510614855325
2000-11-30,713.1886853154418
2000-12-31,678.3473096242835
2001-01-31,670.4190074044197
2001-02-28,624.2749913981414
2001-03-31,629.7178131507144
2001-04-30,650.5210316274911
2001-05-31,611.8860900378935
2001-06-30,632.4701083624293
2001-07-31,657.0408614463684
2001-08-31,622.3765266085463
2001-09-30,625.7065360443728
2001-10-31,663.5510614855325
2001-11-30,713.1886853154418
2001-12-31,678.3473096242835
2002-01-31,670.4190074044197
2002-02-28,624.2749913981414
2002-03-31,629.7178131507144
2002-04-30,650.5210316274911
2002-05-31,611.8860900378935
2002-06-30,632.4701083624293
2002-07-31,657.0408614463684
2002-08-31,622.3765266085463
2002-09-30,625.7065360443728
2002-10-31,663.5510614855325
2002-11-30,713.1886853154418
2002-12-31,678.3473096242835
2003-01-31,670.4190074044197
2003-02-28,624.2749913981414
2003-03-31,629.7178131507144
2003-04-30,650.5210316274911
2003-05-31,611.8860900378935
2003-06-30,632.4701083624293
2003-07-31,657.0408614463684
2003-08-31,622.3765266085463
2003-09-30,625.7065360443728
2003-10-31,663.5510614855325
2003-11-30,713.1886853154418
2003-12-31,678.3473096242835
2004-01-31,670.4190074044197
2004-02-29,624.2749913981414
2004-03-31,629.7178131507144
2004-04-30,650.5210316274911
2004-05-31,611.8860900378935
2004-06-30,632.4701083624293
2004-07-31,657.0408614463684
2004-08-31,622.3765266085463
2004-09-30,625.7065360443728
2004-10-31,663.5510614855325
2004-11-30,713.1886853154418
2004-12-31,678.3473096242835
2005-01-31,670.4190074044197
2005-02-28,624.2749913981414
2005-03-31,629.7178131507144
2005-04-30,650.5210316274911
2005-05-31,611.8860900378935
2005-06-30,632.4701083624293
2005-07-31,657.0408614463684
2005-08-31,622.3765266085463
2005-09-30,625.7065360443728
2005-10-31,663.5510614855325
2005-11-30,713.1886853154418
2005-12-31,678.3473096242835
2006-01-31,670.4190074044197
2006-02-28,624.2749913981414
2006-03-31,629.7178131507144
2006-04-30,650.5210316274911
2006-05-31,611.8860900378935
2006-06-30,632.4701083624293
2006-07-31,657.0408614463684
2006-08-31,622.3765266085463
2006-09-30,625.7065360443728
2006-10-31,663.5510614855325
2006-11-30,713.1886853154418
2006-12-31,678.3473096242835
2007-01-31,670.4190074044197
2007-02-28,624.2749913981414
2007-03-31,629.7178131507144
2007-04-30,650.5210316274911
2007-05-31,611.8860900378935
2007-06-30,632.4701083624293
2007-07-31,657.0408614463684
2007-08-31,622.3765266085463
2007-09-30,625.7065360443728
2007-10-31,663.5510614855325
2007-11-30,713.1886853154418
2007-12-31,678.3473096242835
2008-01-31,670.4190074044197
2008-02-29,624.2749913981414
2008-03-31,629.7178131507144
2008-04-30,650.5210316274911
2008-05-31,611.8860900378935
2008-06-30,632.4701083624293
2008-07-31,657.0408614463684
2008-08-31,622.3765266085463
2008-09-30,625.7065360443728
2008-10-31,663.5510614855325
2008-11-30,713.1886853154418
2008-12-31,678.3473096242835
2009-01-31,670.4190074044197
2009-02-28,624.2749913981414
2009-03-31,629.7178131507144
2009-04-30,650.5210316274911
2009-05-31,611.8860900378935
2009-06-30,632.4701083624293
2009-07-31,657.0408614463684
2009-08-31,622.3765266085463
2009-09-30,625.7065360443728
2009-10-31,663.5510614855325
2009-11-30,713.1886853154418
2009-12-31,678.3473096242835
2010-01-31,670.4190074044197
2010-02-28,624.2749913981414
2010-03-31,629.7178131507144
2010-04-30,650.5210316274911
2010-05-31,611.8860900378935
2010-06-30,632.4701083624293
2010-07-31,657.0408614463684
2010-08-31,622.3765266085463
2010-09-30,625.7065360443728
2010-10-31,663.5510614855325
2010-11-30,713.1886853154418
2010-12-31,678.3473096242835
2011-01-31,670.4190074044197
2011-02-28,624.2749913981414
2011-03-31,629.7178131507144
2011-04-30,650.5210316274911
2011-05-31,611.8860900378935
2011-06-30,632.4701083624293
2011-07-31,657.0408614463684
2011-08-31,622.3765266085463
2011-09-30,625.7065360443728
2011-10-31,663.5510614855325
2011-11-30,713.1886853154418
2011-12-31,678.3473096242835
2012-01-31,670.4190074044197
2012-02-29,624.2749913981414
2012-03-31,629.7178131507144
2012-04-30,650.5210316274911
2012-05-31,611.8860900378935
2012-06-30,632.4701083624293
2012-07-31,657.0408614463684
2012-08-31,622.3765266085463
2012-09-30,625.7065360443728
2012-10-31,663.5510614855325
2012-11-30,713.1886853154418
2012-12-31,678.3473096242835
2013-01-31,670.4190074044197
2013-02-28,624.2749913981414
2013-03-31,629.7178131507144
2013-04-30,650.5210316274911
2013-05-31,611.8860900378935
2013-06-30,632.4701083624293
2013-07-31,657.0408614463684
2013-08-31,622.3765266085463
2013-09-30,625.7065360443728
2013-10-31,663.5510614855325
2013-11-30,713.1886853154418
2013-12-31,678.3473096242835
2014-01-31,670.4190074044197
2014-02-28,624.2749913981414
2014-03-31,629.7178131507144
2014-04-30,650.5210316274911
