,Valor
2000-01-31,603.2083721138613
2000-02-29,652.1857759437792
2000-03-31,666.1323960690208
2000-04-30,650.1698236231234
2000-05-31,619.6994348702559
2000-06-30,639.2277903535181
2000-07-31,622.4483083397362
2000-08-31,652.2976111062826
2000-09-30,651.7194781547236
2000-10-31,683.8338733306306
2000-11-30,624.6478786713845
2000-12-31,600.9724105421875
2001-01-31,635.7784475183184
2001-02-28,635.3968342577139
2001-03-31,639.376041694447
2001-04-30,607.2011900486219
2001-05-31,651.1984883982719
2001-06-30,684.526779886597
2001-07-31,618.4420349434789
2001-08-31,636.2898360825288
2001-09-30,657.1296954613199
2001-10-31,659.2020764279089
2001-11-30,628.6755051909983
2001-12-31,679.0850901600998
2002-01-31,664.6601896864674
2002-02-28,636.5892219539838
2002-03-31,669.4827134727163
2002-04-30,623.0294827251661
2002-05-31,678.648434570709
2002-06-30,631.4533018122311
2002-07-31,610.3388215040064
2002-08-31,647.3731061879184
2002-09-30,652.6982215872281
2002-10-31,658.0647479029028
2002-11-30,646.3215900187524
2002-12-31,649.8991323897135
2003-01-31,674.4433953235608
2003-02-28,619.4417545827621
2003-03-31,627.3608530221875
2003-04-30,678.7201990305649
2003-05-31,637.9453451296054
2003-06-30,689.0312949116524
2003-07-31,650.1488084615941
2003-08-31,693.6045989910731
2003-09-30,656.6461542004225
2003-10-31,634.835315019623
2003-11-30,683.4154484316067
2003-12-31,651.7947444643914
2004-01-31,690.8946801670444
2004-02-29,681.5661892963528
2004-03-31,688.4994245593298
2004-04-30,634.6105277117686
2004-05-31,648.9857437079186
2004-06-30,659.59642341544
2004-07-31,620.936168134096
2004-08-31,681.5366383392853
2004-09-30,638.8455025909527
2004-10-31,689.7291511519966
2004-11-30,643.0830970838908
2004-12-31,646.3698273970807
2005-01-31,640.2651580859467
2005-02-28,670.4603609714394
2005-03-31,621.6327198071735
2005-04-30,652.5948771053199
2005-05-31,664.8655801197715
2005-06-30,615.8856566784303
2005-07-31,625.4305324992846
2005-08-31,663.2983144012317
2005-09-30,628.394463610093
2005-10-31,637.0965543868365
2005-11-30,658.8726116896465
2005-12-31,623.5393918908619
2006-01-31,603.2083721138613
2006-02-28,652.1857759437792
2006-03-31,666.1323960690208
2006-04-30,650.1698236231234
2006-05-31,619.6994348702559
2006-06-30,639.2277903535181
2006-07-31,622.4483083397362
2006-08-31,652.2976111062826
2006-09-30,651.7194781547236
2006-10-31,683.8338733306306
2006-11-30,624.6478786713845
2006-12-31,600.9724105421875
2007-01-31,635.7784475183184
2007-02-28,635.3968342577139
2007-03-31,639.376041694447
2007-04-30,607.2011900486219
2007-05-31,651.1984883982719
2007-06-30,684.526779886597
2007-07-31,618.4420349434789
2007-08-31,636.2898360825288
2007-09-30,657.1296954613199
2007-10-31,659.2020764279089
2007-11-30,628.6755051909983
2007-12-31,679.0850901600998
2008-01-31,664.6601896864674
2008-02-29,636.5892219539838
2008-03-31,669.4827134727163
2008-04-30,623.0294827251661
2008-05-31,678.648434570709
2008-06-30,631.4533018122311
2008-07-31,610.3388215040064
2008-08-31,647.3731061879184
2008-09-30,652.6982215872281
2008-10-31,658.0647479029028
2008-11-30,646.3215900187524
2008-12-31,649.8991323897135
2009-01-31,674.4433953235608
2009-02-28,619.4417545827621
2009-03-31,627.3608530221875
2009-04-30,678.7201990305649
2009-05-31,637.9453451296054
2009-06-30,689.0312949116524
2009-07-31,650.1488084615941
2009-08-31,693.6045989910731
2009-09-30,656.6461542004225
2009-10-31,634.835315019623
2009-11-30,683.4154484316067
2009-12-31,651.7947444643914
2010-01-31,690.8946801670444
2010-02-28,681.5661892963528
2010-03-31,688.4994245593298
2010-04-30,634.6105277117686
2010-05-31,648.9857437079186
2010-06-30,659.59642341544
2010-07-31,620.936168134096
2010-08-31,681.5366383392853
2010-09-30,638.8455025909527
2010-10-31,689.7291511519966
2010-11-30,643.0830970838908
2010-12-31,646.3698273970807
2011-01-31,640.2651580859467
2011-02-28,670.4603609714394
2011-03-31,621.6327198071735
2011-04-30,652.5948771053199
2011-05-31,664.8655801197715
2011-06-30,615.8856566784303
2011-07-31,625.4305324992846
2011-08-31,663.2983144012317
2011-09-30,628.394463610093
2011-10-31,637.0965543868365
2011-11-30,658.8726116896465
2011-12-31,623.5393918908619
2012-01-31,603.2083721138613
2012-02-29,652.1857759437792
2012-03-31,666.1323960690208
2012-04-30,650.1698236231234
2012-05-31,619.6994348702559
2012-06-30,639.2277903535181
2012-07-31,622.4483083397362
2012-08-31,652.2976111062826
2012-09-30,651.7194781547236
2012-10-31,683.8338733306306
2012-11-30,624.6478786713845
2012-12-31,600.9724105421875
2013-01-31,635.7784475183184
2013-02-28,635.3968342577139
2013-03-31,639.376041694447
2013-04-30,607.2011900486219
2013-05-31,651.1984883982719
2013-06-30,684.526779886597
2013-07-31,618.4420349434789
2013-08-31,636.2898360825288
2013-09-30,657.1296954613199
2013-10-31,659.2020764279089
2013-11-30,628.6755051909983
2013-12-31,679.0850901600998
2014-01-31,664.6601896864674
2014-02-28,636.5892219539838
2014-03-31,669.4827134727163
2014-04-30,623.0294827251661
2014-05-31,678.648434570709
2014-06-30,631.4533018122311
2014-07-31,610.3388215040064
2014-08-31,647.3731061879184
2014-09-30,652.6982215872281
2014-10-31,658.0647479029028
2014-11-30,646.3215900187524
2014-12-31,649.8991323897135
2015-01-31,674.4433953235608
2015-02-28,619.4417545827621
2015-03-31,627.3608530221875
2015-04-30,678.7201990305649
2015-05-31,637.9453451296054
2015-06-30,689.0312949116524
2015-07-31,650.1488084615941
2015-08-31,693.6045989910731
2015-09-30,656.6461542004225
2015-10-31,634.835315019623
2015-11-30,683.4154484316067
2015-12-31,651.7947444643914
2016-01-31,690.8946801670444
2016-02-29,681.5661892963528
2016-03-31,688.4994245593298
2016-04-30,634.6105277117686
2016-05-31,648.9857437079186
2016-06-30,659.59642341544
2016-07-31,620.936168134096
2016-08-31,681.5366383392853
2016-09-30,638.8455025909527
2016-10-31,689.7291511519966
2016-11-30,643.0830970838908
2016-12-31,646.3698273970807
2017-01-31,640.2651580859467
2017-02-28,670.4603609714394
2017-03-31,621.6327198071735
2017-04-30,652.5948771053199
2017-05-31,664.8655801197715
2017-06-30,615.8856566784303
2017-07-31,625.4305324992846
2017-08-31,663.2983144012317
2017-09-30,628.394463610093
2017-10-31,637.0965543868365
2017-11-30,658.8726116896465
2017-12-31,623.5393918908619
2018-01-31,603.2083721138613
2018-02-28,652.1857759437792
2018-03-31,666.1323960690208
2018-04-30,650.1698236231234
2018-05-31,619.6994348702559
2018-06-30,639.2277903535181
2018-07-31,622.4483083397362
2018-08-31,652.2976111062826
2018-09-30,651.7194781547236
2018-10-31,683.8338733306306
2018-11-30,624.6478786713845
2018-12-31,600.9724105421875
2019-01-31,635.7784475183184
2019-02-28,635.3968342577139
2019-03-31,639.376041694447
2019-04-30,607.2011900486219
2019-05-31,651.1984883982719
2019-06-30,684.526779886597
2019-07-31,618.4420349434789
2019-08-31,636.2898360825288
2019-09-30,657.1296954613199
2019-10-31,659.2020764279089
2019-11-30,628.6755051909983
2019-12-31,679.0850901600998
2020-01-31,664.6601896864674
2020-02-29,636.5892219539838
2020-03-31,669.4827134727163
2020-04-30,623.0294827251661
2020-05-31,678.648434570709
2020-06-30,631.4533018122311
2020-07-31,610.3388215040064
2020-08-31,647.3731061879184
2020-09-30,652.6982215872281
2020-10-31,658.0647479029028
2020-11-30,646.3215900187524
2020-12-31,649.8991323897135
2021-01-31,674.4433953235608
2021-02-28,619.4417545827621
2021-03-31,627.3608530221875
2021-04-30,678.7201990305649
2021-05-31,637.9453451296054
2021-06-30,689.0312949116524
2021-07-31,650.1488084615941
2021-08-31,693.6045989910731
2021-09-30,656.6461542004225
2021-10-31,634.835315019623
2021-11-30,683.4154484316067
2021-12-31,651.7947444643914
2022-01-31,690.8946801670444
2022-02-28,681.5661892963528
2022-03-31,688.4994245593298
2022-04-30,634.6105277117686
2022-05-31,648.9857437079186
2022-06-30,659.59642341544
2022-07-31,620.936168134096
2022-08-31,681.5366383392853
2022-09-30,638.8455025909527
2022-10-31,689.7291511519966
2022-11-30,643.0830970838908
2022-12-31,646.3698273970807
2023-01-31,640.2651580859467
2023-02-28,670.4603609714394
2023-03-31,621.6327198071735
2023-04-30,652.5948771053199
2023-05-31,664.8655801197715
2023-06-30,615.8856566784303
2023-07-31,625.4305324992846
2023-08-31,663.2983144012317
2023-09-30,628.394463610093
2023-10-31,637.0965543868365
2023-11-30,658.8726116896465
2023-12-31,623.5393918908619
2024-01-31,603.2083721138613
2024-02-29,652.1857759437792
2024-03-31,666.1323960690208
2024-04-30,650.1698236231234
2024-05-31,619.6994348702559
2024-06-30,639.2277903535181
2024-07-31,622.4483083397362
2024-08-31,652.2976111062826
2024-09-30,651.7194781547236
2024-10-31,683.8338733306306
2024-11-30,624.6478786713845
2024-12-31,600.9724105421875
2025-01-31,635.7784475183184
2025-02-28,635.3968342577139
2025-03-31,639.376041694447
2025-04-30,607.2011900486219
2025-05-31,651.1984883982719
2025-06-30,684.526779886597
2025-07-31,618.4420349434789
2025-08-31,636.2898360825288
2025-09-30,657.1296954613199
2025-10-31,659.2020764279089
2025-11-30,628.6755051909983
2025-12-31,679.0850901600998
2026-01-31,664.6601896864674
2026-02-28,636.5892219539838
2026-03-31,669.4827134727163
2026-04-30,623.0294827251661
2026-05-31,678.648434570709
2026-06-30,631.4533018122311
2026-07-31,610.3388215040064
2026-08-31,647.3731061879184
2026-09-30,652.6982215872281
2026-10-31,658.0647479029028
2026-11-30,646.3215900187524
2026-12-31,649.8991323897135
2027-01-31,674.4433953235608
2027-02-28,619.4417545827621
2027-03-31,627.3608530221875
2027-04-30,678.7201990305649
2027-05-31,637.9453451296054
2027-06-30,689.0312949116524
2027-07-31,650.1488084615941
2027-08-31,693.6045989910731
2027-09-30,656.6461542004225
2027-10-31,634.835315019623
2027-11-30,683.4154484316067
2027-12-31,651.7947444643914
2028-01-31,690.8946801670444
2028-02-29,681.5661892963528
2028-03-31,688.4994245593298
2028-04-30,634.6105277117686
2028-05-31,648.9857437079186
2028-06-30,659.59642341544
2028-07-31,620.936168134096
2028-08-31,681.5366383392853
2028-09-30,638.8455025909527
2028-10-31,689.7291511519966
2028-11-30,643.0830970838908
2028-12-31,646.3698273970807
2029-01-31,640.2651580859467
2029-02-28,670.4603609714394
2029-03-31,621.6327198071735
2029-04-30,652.5948771053199
2029-05-31,664.8655801197715
2029-06-30,615.8856566784303
2029-07-31,625.4305324992846
2029-08-31,663.2983144012317
2029-09-30,628.394463610093
2029-10-31,637.0965543868365
2029-11-30,658.8726116896465
2029-12-31,623.5393918908619
