,Valor
2000-01-31,673.6966020127411
2000-02-29,688.0507503479397
2000-03-31,657.2864358351794
2000-04-30,641.783483180297
2000-05-31,654.4067530276176
2000-06-30,623.0879316772975
2000-07-31,631.2443583497526
2000-08-31,662.7342482168889
2000-09-30,616.9755048082313
2000-10-31,616.3945162472332
2000-11-30,651.6560441242825
2000-12-31,659.6263300901675
2001-01-31,685.0700819820688
2001-02-28,653.7450386253839
2001-03-31,659.7873033999676
2001-04-30,671.4565320820424
2001-05-31,597.2703109838292
2001-06-30,665.1443016141695
2001-07-31,651.9331889530102
2001-08-31,605.6329864628373
2001-09-30,682.3674479796483
2001-10-31,635.2285006581457
2001-11-30,613.9185057275475
2001-12-31,670.4537700826461
2002-01-31,665.4637468007359
2002-02-28,636.3505838304234
2002-03-31,659.2765775784491
2002-04-30,631.7515769327487
2002-05-31,621.6691233559659
2002-06-30,633.1651797764317
2002-07-31,673.6966020127411
2002-08-31,688.0507503479397
2002-09-30,657.2864358351794
2002-10-31,641.783483180297
2002-11-30,654.4067530276176
2002-12-31,623.0879316772975
2003-01-31,631.2443583497526
2003-02-28,662.7342482168889
2003-03-31,616.9755048082313
2003-04-30,616.3945162472332
2003-05-31,651.6560441242825
2003-06-30,659.6263300901675
2003-07-31,685.0700819820688
2003-08-31,653.7450386253839
2003-09-30,659.7873033999676
2003-10-31,671.4565320820424
2003-11-30,597.2703109838292
2003-12-31,665.1443016141695
2004-01-31,651.9331889530102
2004-02-29,605.6329864628373
2004-03-31,682.3674479796483
2004-04-30,635.2285006581457
2004-05-31,613.9185057275475
2004-06-30,670.4537700826461
2004-07-31,665.4637468007359
2004-08-31,636.3505838304234
2004-09-30,659.2765775784491
2004-10-31,631.7515769327487
2004-11-30,621.6691233559659
2004-12-31,633.1651797764317
2005-01-31,673.6966020127411
2005-02-28,688.0507503479397
2005-03-31,657.2864358351794
2005-04-30,641.783483180297
2005-05-31,654.4067530276176
2005-06-30,623.0879316772975
2005-07-31,631.2443583497526
2005-08-31,662.7342482168889
2005-09-30,616.9755048082313
2005-10-31,616.3945162472332
2005-11-30,651.6560441242825
2005-12-31,659.6263300901675
2006-01-31,685.0700819820688
2006-02-28,653.7450386253839
2006-03-31,659.7873033999676
2006-04-30,671.4565320820424
2006-05-31,597.2703109838292
2006-06-30,665.1443016141695
2006-07-31,651.9331889530102
2006-08-31,605.6329864628373
2006-09-30,682.3674479796483
2006-10-31,635.2285006581457
2006-11-30,613.9185057275475
2006-12-31,670.4537700826461
2007-01-31,665.4637468007359
2007-02-28,636.3505838304234
2007-03-31,659.2765775784491
2007-04-30,631.7515769327487
2007-05-31,621.6691233559659
2007-06-30,633.1651797764317
2007-07-31,673.6966020127411
2007-08-31,688.0507503479397
2007-09-30,657.2864358351794
2007-10-31,641.783483180297
2007-11-30,654.4067530276176
2007-12-31,623.0879316772975
2008-01-31,631.2443583497526
2008-02-29,662.7342482168889
2008-03-31,616.9755048082313
2008-04-30,616.3945162472332
2008-05-31,651.6560441242825
2008-06-30,659.6263300901675
2008-07-31,685.0700819820688
2008-08-31,653.7450386253839
2008-09-30,659.7873033999676
2008-10-31,671.4565320820424
2008-11-30,597.2703109838292
2008-12-31,665.1443016141695
2009-01-31,651.9331889530102
2009-02-28,605.6329864628373
2009-03-31,682.3674479796483
